Approved Symbol	Previous Symbols
CEACAM7	CGM2
CEACAM8	CGM6
CEACAMP1	CGM8
CEACAMP2	CGM9
CEACAMP3	CGM10, CEACAM24P
CEACAMP4	CGM11
CEACAMP5	CGM12
CEACAMP6	CGM13
CEACAMP7	CGM14
CEACAMP8	CGM15
CEACAMP9	CGM16
CEACAMP10	CGM17
CEACAMP11	CGM18
CEBPA	CEBP
CEBPB	TCF5
CECR1	IDGFL
CECR5-AS1	CECR4
CELA1	ELA1
CELA3A	ELA3A
CELA3B	ELA3B
CELF1	CUGBP1
CELF2	CUGBP2
CELF3	TNRC4
CELF4	BRUNOL4
CELF5	BRUNOL5
CELF6	BRUNOL6
CELP	CELL
CELSR2	EGFL2
CELSR3	EGFL1
CENPC1P1	CENPC, CENPC2
CENPI	FSHPRH1
CENPJ	MCPH6
CENPL	C1orf155
CENPM	C22orf18
CENPN	C16orf60
CENPQ	C6orf139
CENPT	C16orf56
CENPV	PRR6
CENPW	C6orf173
CEP19	C3orf34
CEP41	TSGA14
CEP44	KIAA1712
CEP55	C10orf3
CEP57L1	C6orf182
CEP57L1P1	C10orf37, C6orf182P
CEP68	KIAA0582
CEP76	C18orf9
CEP78	C9orf81
CEP85	CCDC21
CEP85L	C6orf204
CEP89	CCDC123
CEP95	CCDC45
CEP97	LRRIQ2
CEP104	KIAA0562
CEP112	CCDC46
CEP120	CCDC100
CEP128	C14orf61, C14orf145
CEP135	KIAA0635, CEP4
CEP170	KIAA0470
CEP170P1	KIAA0470L, CEP170L
CEP250	CEP2
CERCAM	CEECAM1
CERKL	RP26
CERS1	LASS1
CERS2	LASS2
CERS3	LASS3
CERS4	LASS4
CERS5	LASS5
CERS6	LASS6
CES1P1	CES4
CES4A	CES8
CES5A	CES7
CETN1	CETN
CETN2	CALT
CFB	BFD, BF
CFD	DF, PFD
CFH	HF, HF1, HF2
CFHR1	HFL1, CFHL1, CFHR1P, HFL2, CFHL1P
CFHR2	HFL3, CFHL2
CFHR3	CFHL3
CFHR4	CFHL4
CFHR5	CFHL5
CFI	IF
CFL1	CFL
CFL1P1	CFLP1
CFL1P2	CFLL2, CFLP2
CFL1P3	CFLL3, CFLP3
CFL1P4	CFLL4, CFLP4
CFL1P5	CFLL1, CFLP5
CFL1P6	CFLP6
CFLAR	CASP8AP1
CFLAR-AS1	ALS2CR10
CFP	PFC
CFTR	CF, ABCC7
CFTRP1	C20orf189
CHAMP1	C13orf8, ZNF828
CHCHD1	C10orf34
CHCHD2	C7orf17
CHCHD2P9	C9orf49, CHCHD9
CHCHD5	C2orf9
CHCHD10	C22orf16
CHD8	HELSNF1
CHEK2	RAD53
CHEK2P1	CHEK2L1
CHGB	SCG1
CHKA	CHK
CHKB	CHKL
CHM	TCD, DXS540
CHMP1A	PRSM1, PCOLN3
CHMP3	VPS24
CHMP4A	C14orf123
CHMP4B	C20orf178
CHMP5	C9orf83, SNF7DC2
CHN1	CHN, DURS2
CHODL	C21orf68
CHODL-AS1	C21orf39, NCRNA00157
CHRNA1	CHRNA
CHRNA4	EBN, EBN1
CHRNB1	CHRNB
CHRND	ACHRD
CHRNG	ACHRG
CHST6	MCDC1
CHST9-AS1	C18orf16
CHST14	D4ST1
CHTF8P1	CHTF8P
CHTF18	C16orf41
CHTOP	C1orf77
CHUK	TCF16
CHURC1	C14orf52
CIAO1	WDR39
CIITA	MHC2TA
CIRBP-AS1	C19orf23
CISD1	C10orf70, ZCD1
CISD1P1	ZCD1B, CISD1B
CISD2	ZCD2, WFS2
CITED1	MSG1
CKB	CKBB
CKLF	CKLF1
CKM	CKMM
CKMT1A	CKMT1
CKMT1B	CKMT, CKMT1
CKS1BP1	CKS1BP
CKS1BP7	CKS1, CKS1A
CLA3	CPD1
CLASRP	SFRS16
CLCA3P	CLCA3
CLCN5	NPHL2, NPHL1
CLDN3	C7orf1, CPETR2
CLDN4	CPETR, CPETR1
CLDN5	AWAL, TMVCF
CLDN7	CEPTRL2, CPETRL2
CLDN11	OTM
CLDN14	DFNB29
CLDN18	SFTPJ
CLDND1	C3orf4
CLEC2B	CLECSF2
CLEC3A	CLECSF1
CLEC3B	TNA
CLEC4A	CLECSF6
CLEC4C	CLECSF11, CLECSF7
CLEC4D	CLECSF8
CLEC4E	CLECSF9
CLEC4F	CLECSF13
CLEC4M	CD209L, CD299
CLEC5A	CLECSF5
CLEC6A	CLECSF10
CLEC7A	CLECSF12
CLEC10A	CLECSF13, CLECSF14
CLEC11A	SCGF
CLEC14A	C14orf27
CLEC16A	KIAA0350
CLIC6	CLIC1L
CLIP1	RSN
CLIP2	WBSCR4, CYLN2, WBSCR3
CLIP4	RSNL2
CLN3	BTS
CLN8	EPMR, C8orf61
CLNS1A	CLCI
CLNS1AP1	CLNS1B
CLPSL1	C6orf127
CLPSL2	C6orf126
CLRN1	USH3, USH3A
CLRN1-AS1	CLRN1OS
CLRN3	TMEM12
CLTC	CLTCL2
CLTCL1	CLTCL
CLU	CLI, APOJ
CLVS1	RLBP1L1
CLVS2	C6orf212, C6orf213, RLBP1L2
CMAHP	CMAH
CMC1	C3orf68
CMC2	C16orf61
CMM	DNS
CMPK1	CMPK
CMTM1	CKLFSF1
CMTM2	CKLFSF2
CMTM3	CKLFSF3
CMTM4	CKLFSF4
CMTM5	CKLFSF5
CMTM6	CKLFSF6
CMTM7	CKLFSF7
CMTM8	CKLFSF8
CMYA5	C5orf10
CNBP	DM2, ZNF9
CNDP2	PEPA
CNEP1R1	C16orf69, TMEM188
CNGA1	CNCG1, CNCG
CNGA2	CNCA1, CNCA
CNGA3	CNCG3, ACHM2
CNGA4	CNCA2, CNGB2
CNGB1	CNCG2, CNCG3L
CNGB3	ACHM3
CNKSR3	MAGI1
CNNM1	ACDP1
CNNM2	ACDP2
CNNM3	ACDP3
CNNM4	ACDP4
CNOT1	NOT1
CNOT2	NOT2
CNOT3	NOT3
CNOT4	NOT4
CNOT7	CAF1
CNOT8	POP2
CNPPD1	C2orf24
CNPY2	TMEM4
CNPY3	TNRC5
CNR1	CNR
CNRIP1	C2orf32
CNST	C1orf71
CNTD1	CNTD
CNTLN	C9orf101, C9orf39
CNTN2	TAX, AXT
CNTN3	PANG
CNTNAP1	NRXN4
CNTRL	CEP1, CEP110
COA5	C2orf64
COCH	DFNA31, DFNA9
COG1	LDLB
COG2	LDLC
COG5	GOLTC1
COILP1	COILP
COL1A2	OI4
COL2A1	SEDC
COL3A1	EDS4A
COL4A5	ASLN, ATS
COL6A4P1	DVWA
COL6A5	COL29A1
COL7A1	EBDCT, EBD1, EBR1
COL8A1	C3orf7
COL8A2	FECD
COL9A2	EDM2
COL11A1	COLL6
COL11A2	DFNA13, DFNB53
COL12A1	COL12A1L
COL14A1	UND
COL17A1	BPAG2
COL18A1	KNO
COL18A1-AS1	C21orf123, NCRNA00175
COMMD1	C2orf5
COMMD3	C10orf8
COMMD7	C20orf92
COMP	PSACH, EDM1, EPD1
COPB1	COPB
COPG1	COPG
COPZ1	COPZ
COQ9	C16orf49
CORD1	CORD
COTL1P1	CLPSMCR
COTL1P2	CLPSMCR
COX4I1	COX4
COX4I1P1	COX4P1, COX4L1
COX4I2	COX4L2
COX4NB	C16orf4, NOC4, C16orf2
COX5BP1	COX5BL1
COX5BP2	COX5BL2
COX5BP3	COX5BL3
COX5BP4	COX5BL4
COX5BP5	COX5BL5
COX5BP6	COX5BL6
COX5BP7	COX5BL7
COX6A1	COX6A
COX6A1P1	COX6A1P
COX6B1	COX6B
COX6B1P1	COX6BP1
COX6B1P2	COX6BP2
COX6B1P3	COX6BP3
COX6B1P4	COX6BP4
COX7A1	COX7A
COX7A2P1	COX7A3P, COX7AP1
COX7A2P2	COX7A3, COX7AP2
COX8A	COX8
COX8BP	COX8B
COX10-AS1	COX10AS, COX10-AS
COX11P1	COX11P
COX14	C12orf62
COX16	C14orf112
COX17P1	COX17P
COX20	FAM36A
COX20P1	FAM36B
CPA1	CPA
CPHL1P	CPHL1
CPN2	ACBP
CPOX	CPO
CPS1-IT1	CPS1IT
CPT1A	CPT1
CPT2	CPT1
CPXM1	CPXM
CRABP1	RBP5
CRB1	RP12
CRBN	MRT2A
CRCT1	C1orf42
CREBBP	RSTS
CREBRF	C5orf41
CREG1	CREG
CRELD1	AVSD2
CRHR1	CRHR
CRIM1	S52
CRISP1	AEGL1
CRISP2	GAPDL5, TPX1
CRISPLD1	LCRISP1
CRISPLD2	LCRISP2
CRLS1	C20orf155
CRNN	C1orf10
CROCCP1	CROCCP
CROCCP2	CROCCL1
CROCCP3	CROCCL2
CRTC1	MECT1
CRX	CORD2
CRY1	PHLL1
CRYAA	CRYA1
CRYAB	CRYA2
CRYBA1	CRYB1
CRYBB2	CCA2, CRYB2A, CRYB2
CRYBB2P1	CRYB2B
CRYBB3	CRYB3
CRYGA	CRYG1
CRYGB	CRYG2
CRYGC	CRYG3
CRYGD	CRYG4
CRYGEP	CRYG5, CCL, CRYGEP1
CRYGFP	CRYG6, CRYGFP1
CRYGGP	CRYGGP1
CRYGS	CRYG8
CRYM-AS1	NCRNA00169
CSAG2	CSAG3B
CSAG3	CSAG3A
CSF1R	FMS
CSF2RA	CSF2R
CSF2RB	IL3RB
CSF2RBP1	CSF2RB2
CSF3	GCSF, G-CSF, C17orf33
CSF3R	CD114
CSHL1	CSHP1
CSN1S1	CASA, CSN1
CSN1S2AP	CSN1S2A
CSN1S2BP	CSN1S2B
CSN2	CASB
CSN3	CSN10
CSNK1A1P1	CSNK1A1P
CSNK1G2-AS1	C19orf34
CSPG4P1Y	CSPG4LYP1, CSPG4P1
CSPG4P2Y	CSPG4LYP2, CSPG4P2
CSPG4P3Y	CSPG4P3, CSPG4P6Y
CSPG4P4Y	CSPG4P4, CSPG4P7Y
CSRNP1	AXUD1
CSRNP2	C12orf22, FAM130A1
CSRNP3	FAM130A2
CSRP1	CYRP
CST11	CST8L
CSTA	STF1, STFA
CSTB	EPM1, STFB
CTAG1B	CTAG, CTAG1
CTAGE3P	CTAGE3
CTAGE5	MGEA, MGEA6
CTAGE6P	CTAGE6
CTAGE7P	CTAGEP, CTAGE7
CTBP1-AS1	C4orf42
CTBS	CTB
CTC1	C17orf68
CTDNEP1	DULLARD
CTDSPL	C3orf8
CTIF	KIAA0427
CTLA4	CELIAC3
CTNNA1P1	CTNNAP1
CTNNB1	CTNNB
CTNNBL1	C20orf33
CTNND1	CTNND
CTR9	SH2BP1
CTRB1	CTRB
CTSA	GSL, PPGB
CTSC	PLS, PALS
CTSD	CPSD
CTSH	CPSB
CTSK	CTSO2, CTSO, PYCD
CTSL1	CTSL
CTSL1P1	CTSLL, CTSLL1
CTSL1P2	CTSLL2
CTSL1P3	CTSLL3
CTSL1P4	CTSLL4
CTSL1P5	CTSLL5
CTSL1P6	CTSLL6
CTSL1P7	CTSLL7
CTSO	CTSO1
CTTN	EMS1
CTTNBP2	CORTBP2, C7orf8
CTU1	ATPBD3
CTU2	C16orf84
CUBN	MGA1
CUEDC2	C10orf66
CUL7	KIAA0076
CUTA	C6orf82, ACHAP
CUX1	CUTL1
CUX2	CUTL2
CWC25	CCDC49
CWC27	SDCCAG10
CX3CL1	SCYD1
CX3CR1	GPR13, CMKBRL1
CXCL1	MGSA, GRO1, FSP
CXCL1P	SCYB1P
CXCL2	GRO2
CXCL3	GRO3
CXCL5	SCYB5
CXCL6	SCYB6
CXCL9	CMK, MIG
CXCL10	INP10, SCYB10
CXCL11	SCYB9B, SCYB11
CXCL12	SDF1A, SDF1B, SDF1
CXCL13	SCYB13
CXCL14	SCYB14
CXCR1	CMKAR1, IL8RA
CXCR2	IL8RB
CXCR2P1	IL8RBP, CXCR2P
CXCR3	GPR9
CXCR5	BLR1
CXCR7	CMKOR1
CXorf40A	CXorf40
CXorf51A	CXorf51
CXXC1P1	CXorf25, NCRNA00236
CXXC11	C2orf85
CYB5A	CYB5
CYB5AP2	CYB5P2
CYB5AP3	CYB5P3
CYB5AP4	CYB5P4
CYB5AP5	CYB5P5
CYB5R1	NQO3A2
CYB5R3	DIA1
CYB5R4	NCB5OR
CYBB	CGD
CYCSP12	CYCSP13
CYCSP41	CYC1LP4
CYCSP42	CYC1LP5
CYCSP49	CYCSP54
CYCSP55	CYCSL1
CYLD	CYLD1
CYP1A1	CYP1
CYP1B1	GLC3A
CYP1B1-AS1	C2orf58
CYP2A	CYP1
CYP2A6	CYP2A3
CYP2A7P1	CYP2A7P2
CYP2B6	CYP2B
CYP2B7P1	CYP2B7
CYP2C9	CYP2C10
CYP2C18	CYP2C17
CYP2C19	CYP2C
CYP2D6	CYP2DL1, CYP2D7P2, CYP2D7BP, CYP2D8P2, CYP2D7AP
CYP2D7P1	CYP2D, CYP2D@
CYP2D8P1	CYP2DP1, CYP2D8P
CYP2E1	CYP2E
CYP2F1	CYP2F
CYP2G1P	CYP2G1
CYP2G2P	CYP2G2
CYP3A	CYP3
CYP3A4	CYP3A3
CYP4A11	CYP4A2
CYP4F3	LTB4H
CYP4F29P	C21orf15, CYP4F3LP
CYP4F30P	C2orf14
CYP7A1	CYP7
CYP7B1	SPG5A
CYP11A1	CYP11A
CYP11B1	CYP11B
CYP11B2	CYP11B
CYP17A1	CYP17
CYP17A1-AS1	CYP17A1OS
CYP19A1	CYP19
CYP21A1P	CYP21P, CYP21A
CYP21A2	CYP21, CYP21B
CYP24A1	CYP24
CYP27A1	CYP27
CYP27B1	VDD1, PDDR
CYP46A1	CYP46
CYP51A1	CYP51
CYR61	IGFBP10
CYSTM1	C5orf32
CYTH1	PSCD1
CYTH2	PSCD2L, PSCD2
CYTH3	PSCD3
CYTH4	PSCD4
CYTIP	PSCDBP
CYYR1	C21orf95
DACH1	DACH
DACT2	C6orf116
DACT3	RRR1
DAD1P1	DAD1L
DAGLA	C11orf11
DANCR	KIAA0114, SNHG13
DAOA-AS1	DAOAAS, DAOA-AS
DAP3P1	DAP3P
DARC	FY
DAZ1	DAZ
DAZL	DAZLA
DBC1	DBCCR1
DBH-AS1	NCRNA00118
DBIP1	DBIL2
DBIP2	DBIL1
DBN1	D0S117E
DBNDD2	C20orf35
DCAF4	WDR21, WDR21A
DCAF4L1	WDR21B
DCAF4L2	WDR21C
DCAF5	WDR22
DCAF6	IQWD1
DCAF7	WDR68
DCAF8	WDR42A
DCAF8L1	WDR42B
DCAF8L2	WDR42C
DCAF10	WDR32
DCAF11	WDR23
DCAF12	KIAA1892, WDR40A
DCAF12L1	WDR40B
DCAF12L2	WDR40C
DCAF13	WDSOF1
DCAF15	C19orf72
DCAF16	C4orf30
DCAF17	C2orf37
DCHS1	CDH25, PCDH16
DCHS2	CDH27, PCDH23
DCLK1	DCAMKL1
DCLK2	DCAMKL2
DCLK3	DCAMKL3
DCLRE1C	SCIDA
DCT	TYRP2
DCUN1D2	C13orf17
DDA1	C19orf58
DDHD2	SAMWD1
DDR1	NTRK4, PTK3A, NEP, CAK, EDDR1
DDR2	TYRO10, NTRKR3
DDRGK1	C20orf116
DDX3X	DDX3
DDX3Y	DBY
DDX5	HLR1, G17P1
DDX6	HLR2
DDX6P1	DDX6P
DDX11L10	DDX11P, DDX11L1
DDX12P	DDX12
DDX19A	DDX19L
DDX19B	DDX19
DDX39A	DDX39
DDX39B	BAT1
DDX39BP1	BAT1P1
DDX39BP2	BAT1P2
DECR1	DECR
DEFA1	DEF1, MRS, DEFA2
DEFA3	DEF3
DEFA4	DEF4
DEFA5	DEF5
DEFA7P	DEFA7
DEFB4A	DEFB102, DEFB2, DEFB4
DEFB4B	DEFB4P
DEFB103A	DEFB3, DEFB103
DEFB104A	DEFB104
DEFB105A	DEFB105
DEFB106A	DEFB106
DEFB107A	DEFB107
DEFB108P1	DEFB108
DEFB109P1	DEFB109
DEFB118	C20orf63
DEFB119	DEFB120
DEFB126	C20orf8
DEFB127	C20orf73
DEFB129	C20orf87
DEFT1P	DEFQ1, DEFT1
DEGS2	C14orf66
DEM1	C1orf176
DENND1A	KIAA1608
DENND1B	FAM31B, C1orf218
DENND1C	FAM31C
DENND2A	KIAA1277
DENND4A	MYCPBP
DENND4B	KIAA0476
DENND4C	C9orf55B, C9orf55
DENND5A	RAB6IP1
DEPTOR	DEPDC6
DERL3	C22orf14
DFNA42	DFNA52
DFNA52	DFNA42
DGCR8	C22orf12
DGCR14	DGCR13
DGKA	DAGK, DAGK1
DGKB	DAGK2
DGKG	DAGK3
DGKQ	DAGK4
DHCR7	SLOS
DHFRL1	DHFRP4
DHRSX-IT1	DHRSXIT1
DHX8	DDX8
DHX9	LKP, DDX9
DHX9P1	DDX9P, DHX9P
DHX15	DDX15
DHX16	DDX16
DHX29	DDX29
DHX30	DDX30
DHX32	DDX32
DHX33	DDX33
DHX34	DDX34
DHX35	C20orf15, DDX35
DHX36	DDX36
DHX37	DDX37
DHX38	DDX38
DHX40	DDX40
DHX40P1	DHX40P
DIAPH1	DFNA1
DIAPH3	AUNA1
DIDO1	C20orf158, DATF1
DIEXF	C1orf107
DIMT1	DIMT1L
DIO1	TXDI1
DIO3	TXDI3
DIO3OS	C14orf134
DIP2A	C21orf106
DIP2C	KIAA0934
DIRAS3	ARHI
DIS3	KIAA1008
DIS3L2	FAM6A
DIS3L2P1	FAM6B, DIS3L2P
DKC1	DKC
DKKL1P1	DKKL2
DLAT	DLTA
DLD	LAD, GCSL
DLEU1	DLB1, BCMS
DLEU2	DLB2, BCMSUN, RFP2OS
DLEU2L	BCMSUNL
DLG2-AS1	DLG2AS, DLG2-AS
DLGAP5	DLG7
DLK2	EGFL9
DLST	DLTS
DLSTP1	DLSTP
DLX4	DLX7, DLX9
DLX6-AS1	NCRNA00212
DM1	DM
DMBX1	OTX3
DMRT3	DMRTA3
DNA2	DNA2L
DNAAF1	LRRC50
DNAAF2	C14orf104
DNAAF3	C19orf51
DNAH2	DNHD3
DNAH6	DNHL1
DNAH9	DNAH17L
DNAH12	DNHD2, DNAH12L, DNAH7L
DNAH14	C1orf67
DNAH17	DNAHL1
DNAJA1	HSJ2
DNAJA3	TID1
DNAJB1	HSPF1
DNAJB1P1	DNAJB1P
DNAJB2	HSJ1
DNAJB9	MDG1
DNAJC2	ZRF1
DNAJC3	PRKRI
DNAJC4	HSPF2
DNAJC5	CLN4
DNAJC7	TTC2
DNAJC15	DNAJD1
DNAJC24	ZCSL3, DPH4
DNAJC27	RBJ
DNAJC28	C21orf55
DNAJC30	WBSCR18
DNAL1	C14orf168
DNASE1	DNL1
DNASE1L1	DNL1L
DNASE2	DNL, DNL2
DNHD1	DHCD1, C11orf47, DNHD1L, CCDC35
DNLZ	C9orf151
DNM1	DNM
DNM1P5	DNM1DN5
DNM1P9	DNM1DN9@, DNM1DN9
DNM1P17	DNM1DN17
DNM1P18	DNM1DN18
DNM1P19	DNM1DN19
DNM1P24	DNM1DN15@
DNM1P25	DNM1DN15@
DNM1P26	DNM1DN16@
DNM1P27	DNM1DN16@
DNM1P28	DNM1DN3@
DNM1P29	DNM1DN3@
DNM1P30	DNM1DN3@, DNM1DN4@
DNM1P31	DNM1DN4@
DNM1P32	DNM1DN4@
DNM1P33	DNM1DN7@
DNM1P34	DNM1DN8@
DNM1P35	DNM1DN8@
DNM1P36	DNM1DN8@
DNM1P37	DNM1DN10@
DNM1P38	DNM1DN10@
DNM1P39	DNM1DN11@
DNM1P40	DNM1DN11@
DNM1P41	DNM1DN11@
DNM1P42	DNM1DN11@
DNM1P43	DNM1DN11@
DNM1P44	DNM1DN11@
DNM1P45	DNM1DN12@
DNM1P46	DNM1DN14@, C15orf51
DNM1P47	DNM1DN14@
DNMBP-AS1	NCRNA00093
DNMT1	DNMT
DNTTIP1	C20orf167
DOC2B	DOC2BL
DOHH	HLRC1
DOK5	C20orf180
DOK6	DOK5L
DOK7	C4orf25
DOLK	TMEM15
DONSON	C21orf60
DOPEY1	KIAA1117
DOPEY2	C21orf5
DPAGT1	DPAGT2, DPAGT
DPF2	REQ
DPH1	DPH2L, DPH2L1
DPH2	DPH2L2
DPH3	ZCSL2
DPH3P1	C20orf143, ZCSL1, DPH3B
DPP4	CD26, ADCP2
DRAM2	TMEM77
DRD5	DRD1L2
DRG1	NEDD3
DRGX	PRRXL1
DROSHA	RNASEN
DSC2	DSC3
DSC3	DSC4
DSCR8	C21orf65
DSE	SART2
DSEL	C18orf4
DSG1	DSG
DSN1	C20orf172
DSPP	DFNA39, DGI1
DST	BPAG1
DSTYK	RIPK5
DTD1	C20orf88, HARS2
DUSP1	PTPN10
DUSP3	VHR
DUSP8	C11orf81
DUTP1	DUTL
DYNC1H1	DNECL, DNCL, DNCH1
DYNC1I1	DNCI1
DYNC1I2	DNCI2
DYNC1LI1	DNCLI1
DYNC1LI2	DNCLI2
DYNC2H1	DNCH2
DYNLL1	DNCL1
DYNLL1P1	DNCL1P1
DYNLL1P2	DNCL1P2
DYNLRB1	DNCL2A
DYNLRB2	DNCL2B
DYNLT1	TCTEL1
DYNLT3	TCTE1L
DYNLT3P1	TCTE1P
DYRK1A	DYRK1, DYRK, MNBH
DYSF	LGMD2B
DYX9	DXY9
DZANK1	C20orf84, C20orf12
E2F1	RBBP3
EAPP	C14orf11
EBF1	EBF
EBP	CDPX2
ECE1	ECE
ECI1	DCI
ECI2	PECI
ECT2L	C6orf91
EDA	ED1, EDA2, ODT1
EDAR	ED3, DL
EDC3	YJDC, LSM16
EDDM3A	FAM12A
EDDM3B	FAM12B
EDDM3CP	FAM12CP
EDEM2	C20orf49, C20orf31
EDEM3	C1orf22
EDNRB	HSCR2, HSCR
EEC1	EEC
EEF1A1	EF1A, EEF1A, LENG7
EEF1A1P1	EEF1A1P
EEF1A1P3	EEF1AL, EEF1AL1
EEF1A1P4	EEF1AL2
EEF1A1P5	EEF1AL3
EEF1A1P6	EEF1AL4
EEF1A1P7	EEF1AL5
EEF1A1P8	EEF1AL6
EEF1A1P9	EEF1AL7
EEF1A1P10	EEF1AL8
EEF1A1P11	EEF1AL9
EEF1A1P12	EEF1AL10
EEF1A1P13	EEF1AL11
EEF1A1P14	EEF1AL12
EEF1A1P15	EEF1AL13
EEF1A2	STNL, STN
EEF1B2P1	EEF1B1
EEF1B2P2	EEF1B, EEF1B3
EEF1B2P3	EEF1B4
EEF1E1	P18
EEF2	EF2
EFCAB11	C14orf143
EFEMP1	DHRD, FBNL
EFNA1	TNFAIP4, EPLG1
EFNA2	EPLG6
EFNA3	EPLG3
EFNA4	EPLG4
EFNA5	EPLG7
EFNB1	EPLG2, CFNS
EFNB2	EPLG5
EFNB3	EPLG8
EFR3B	KIAA0953
EGFEM1P	C3orf50, NCRNA00259
EGFL6	MAEG
EGFL8	C6orf8
EGFR	ERBB
EGLN1	C1orf12
EGR2	KROX20
EHD1	PAST1
EHD2	PAST2
EHD3	PAST3
EHD4	PAST4
EHHADH	ECHD
EHMT2	C6orf30, BAT8
EID1	C15orf3, CRI1
EID2	CRI2
EIF1AX	EIF4C, EIF1A
EIF1AXP1	EIF1AP1
EIF2AK2	PRKR
EIF2B1	EIF2B
EIF2S1	EIF2
EIF2S2	EIF2
EIF2S2P1	EIF2S2P
EIF2S3	EIF2G
EIF3A	EIF3, EIF3S10
EIF3B	EIF3S9
EIF3C	EIF3S8
EIF3D	EIF3S7
EIF3E	INT6, EIF3S6
EIF3EP1	INT6P1, EIF3S6P1, EIF3EP
EIF3F	EIF3S5
EIF3FP1	EIF3S5P, EIF3FP
EIF3G	EIF3S4
EIF3H	EIF3S3
EIF3I	EIF3S2
EIF3J	EIF3S1
EIF3K	EIF3S12
EIF3L	EIF3S6IP, EIF3EIP
EIF3LP1	EIF3S6IPP, EIF3EIPP1
EIF3LP2	EIF3S6IPP2, EIF3EIPP2
EIF3M	PCID1
EIF4A1	EIF4A
EIF4A1P1	EIF4A1P
EIF4A2	EIF4F
EIF4A3	DDX48
EIF4BP1	EIF4BP
EIF4E	EIF4EL1, EIF4F
EIF4E2	EIF4EL3
EIF4E2P1	EIF4EL4
EIF4EP1	EIF4EL2
EIF4G1	EIF4G, EIF4F
EIF4H	WBSCR1
EIF5AL1	EIF5AP1
EIF6	EIF3A, ITGB4BP
EJM1	EJM
ELANE	ELA2
ELAVL1	HUR
ELAVL4	HUD
ELF3	ESX
ELFN1	PPP1R28
ELFN2	LRRC62, PPP1R29
ELK2AP	ELK2, ELK2P1
ELK2BP	ELK2P2
ELL	C19orf17
ELMOD3	RBM29, RBED1
ELOVL4	STGD2, STGD3
ELP2	STATIP1
ELP4	C11orf19
EMID2	COL26A1
EMILIN3	C20orf130, EMILIN5
EML1	EMAPL
EML4	C2orf2
EMR1	TM7LN3
EMR4P	GPR127, EMR4
ENAM	AIH2
ENC1	NRPB
ENG	ORW1, ORW
ENHO	C9orf165
ENKUR	C10orf63
ENO1	ENO1L1, MPB1
ENO1P1	ENO1P
ENO4	C10orf134
ENOX2	COVA1
ENPP1	NPPS, M6S1, PDNP1
ENPP2	PDNP2
ENPP3	PDNP3
ENSAP1	ENSAP
ENTPD1	CD39
ENTPD2	CD39L1
ENTPD3	CD39L3
ENTPD4	LYSAL1
ENTPD5	CD39L4, PCPH
ENTPD6	CD39L2, IL6ST2
EP400	TNRC12
EPB41	EL1
EPB41L4A-AS1	C5orf26, NCRNA00219
EPCAM	M4S1, MIC18, TACSTD1
EPG5	KIAA1632
EPHA1	EPHT, EPHT1
EPHA2	ECK
EPHA3	ETK, ETK1, TYRO4
EPHA4	TYRO1
EPHA8	EEK
EPHB1	EPHT2
EPHB2	DRT, ERK, EPHT3
EPHB3	ETK2
EPHB4	HTK
EPHX1	EPHX
EPHX3	ABHD9
EPHX4	ABHD7
EPRS	QPRS, QARS
EPS15P1	EPS15L2
EPYC	DSPG3
ERAS	HRAS2, HRASP
ERBB2	NGL
ERBB3	LCCS2
ERC1	RAB6IP2
ERCC2	XPD
ERCC4	XPF
ERCC5	ERCM2, XPGC
ERCC6	CKN2
ERCC8	CKN1
ERGIC3	SDBCAG84, C20orf47
ERI1	THEX1
ERI2	EXOD1
ERI3	PRNPIP
ERLEC1	C2orf30
ERLIN1	C10orf69, SPFH1
ERLIN2	C8orf2, SPFH2, Erlin-2
ERMAP	RD, SC
ERMN	KIAA1189
ERMP1	KIAA1815
ERP27	C12orf46
ERP29	C12orf8
ERP44	TXNDC4
ERV3-1	ERV3
ERVE-1	ERVE1
ERVH48-1	C21orf105, NDUFV3-AS1
ERVK-4	ERVK4
ERVK-5	ERVK5
ERVK-6	ERVK6
ERVK-7	ERVK7
ERVK-8	ERVK8
ERVMER61-1	C1orf99
ERVW-1	ERVWE1
ERVW-2	ERVWE2
ESCO2	RBS
ESF1	C20orf6
ESPN	DFNB36
ESR1	ESR
ESRP1	RBM35A
ESRP2	RBM35B
ESRRA	ESRL1
ESRRAP1	ESRRAP
ESRRB	ESRL2, DFNB35
ESX1	ESX1L
ESYT1	FAM62A
ESYT2	FAM62B
ESYT3	FAM62C
ETF1	SUP45L1, ERF1, ERF
ETF1P1	SUP45L2
ETF1P2	SUP45L3
ETF1P3	SUP45L4
ETS1	EWSR2
EVI2A	EVI2
EXD1	EXDL1
EXD2	C14orf114, EXDL2
EXOC1	SEC3L1
EXOC2	SEC5L1
EXOC3	SEC6L1
EXOC3L1	EXOC3L
EXOC3L4	C14orf73
EXOC4	SEC8L1
EXOC5	SEC10L1
EXOC6	SEC15L1
EXOC6B	SEC15L2, SEC15B
EXOG	ENDOGL1, ENDOGL2
EXOSC9	PMSCL1
EXOSC10	PMSCL2
EXT1	LGCR, LGS
EXTL2P1	EXTL2P
EYA1	BOR
EYA4	DFNA10, CMD1J
EYCL1	GEY
EYS	C6orf180, EGFL11, RP25, EGFL10, C6orf178, C6orf179
EZR	VIL2
F2RL1	GPR11
F8	F8C
F8A1	F8A
F11R	JAM1
F13A1	F13A
FA2H	FAXDC1, SPG35
