gene	disease
ACTA2	Familial thoracic aortic aneurysm
ACTA2	Moyamoya disease
ACTB	Developmental malformations - deafness - dystonia
ACTC1	Atrial septal defect, ostium secundum type
ACTC1	Familial isolated dilated cardiomyopathy
ACTC1	Left ventricular noncompaction
ACTG1	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
ACTN2	Familial isolated dilated cardiomyopathy
ACTN4	Familial idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis
ACVR1	Fibrodysplasia ossificans progressiva
ACVR2B	Situs ambiguus
ACVRL1	Idiopathic and/or familial pulmonary arterial hypertension
ACVRL1	Rendu-Osler-Weber disease
ACY1	Neurological conditions associated with aminoacylase 1 deficiency
ADA	Severe combined immunodeficiency due to adenosine deaminase deficiency
ADAM9	Cone rod dystrophy
ADAMTS10	Weill-Marchesani syndrome
ADAMTS13	Congenital thrombotic thrombocytopenic purpura due to ADAMTS-13 deficiency
ADAMTS2	Ehlers-Danlos syndrome, dermatosparaxis type
ADAMTSL2	Geleophysic dysplasia
ADAMTSL4	Ectopia lentis syndrome
ADAR	Acropigmentation of Dohi
ADCK3	Autosomal recessive ataxia due to ubiquinone deficiency
ADCY10	Idiopathic hypercalciuria
ADSL	Adenylosuccinate lyase deficiency
AFF1	Precursor B-cell acute lymphoblastic leukemia
AFF2	FRAXE intellectual deficiency
AFG3L2	Spinocerebellar ataxia type 28
AFP	Congenital deficiency in alpha-fetoprotein
AFP	Hereditary persistence of alpha-fetoprotein
AGA	Aspartylglucosaminuria
AGGF1	Klippel-Trenaunay syndrome
AGL	Glycogen debranching enzyme deficiency
AGPAT2	Berardinelli-Seip congenital lipodystrophy
AGPS	Rhizomelic chondrodysplasia punctata
AGRN	Postsynaptic congenital myasthenic syndromes
AGT	Renal tubular dysgenesis of genetic origin
AGTR1	Renal tubular dysgenesis of genetic origin
AGTR2	X-linked nonsyndromic intellectual deficit
AGXT	Primary hyperoxaluria type 1
AHCY	Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency
AHI1	Joubert syndrome with ocular defect
AICDA	Hyper-IgM syndrome type 2
AIFM1	Severe X-linked mitochondrial encephalomyopathy
AIMP1	Pelizaeus-Merzbacher-like due to AIMP1 mutation
AIP	Acromegaly
AIP	Familial prolactinoma
AIPL1	Cone rod dystrophy
AIPL1	Congenital Leber amaurosis
AIPL1	Retinitis pigmentosa
AIRE	Autoimmune polyendocrinopathy type 1
AK1	Hemolytic anemia due to adenylate kinase deficiency
AKR1D1	Congenital bile acid synthesis defect type 2
AKT1	Proteus syndrome
AKT2	Familial partial lipodystrophy due to AKT2 mutations
ALAD	Porphyria due to ALA dehydratase deficiency
ALAS2	Erythropoietic protoporphyria
ALAS2	X-linked sideroblastic anemia
ALB	Congenital analbuminemia
ALDH18A1	Neurocutaneous syndrome, Bicknell type
ALDH3A2	Sjögren-Larsson syndrome
ALDH4A1	Hyperprolinemia type II
ALDH5A1	4-hydroxybutyricaciduria
ALDH7A1	Pyridoxine-dependent epilepsy
ALDOA	Aldolase A deficiency
ALDOB	Fructose intolerance
ALG1	CDG syndrome type Ik
ALG12	CDG syndrome type Ig
ALG2	CDG syndrome type Ii
ALG3	CDG syndrome type Id
ALG6	CDG syndrome type Ic
ALG8	CDG syndrome type Ih
ALG9	CDG syndrome type IL
ALK	Anaplastic large cell lymphoma
ALK	Neuroblastoma
ALMS1	Alström syndrome
ALOX12B	Congenital nonbullous ichthyosiform erythroderma
ALOX12B	Lamellar ichthyosis
ALOX12B	Self-healing collodion baby
ALOXE3	Congenital nonbullous ichthyosiform erythroderma
ALOXE3	Self-healing collodion baby
ALPL	Adult hypophosphatasia
ALPL	Childhood-onset hypophosphatasia
ALPL	Infantile hypophosphatasia
ALPL	Odontohypophosphatasia
ALPL	Perinatal lethal hypophosphatasia
ALPL	Prenatal benign hypophosphatasia
ALS2	Amyotrophic lateral sclerosis
ALS2	Juvenile primary lateral sclerosis
ALX3	Frontonasal dysplasia
ALX4	Frontonasal dysplasia with alopecia and genital anomaly
ALX4	Parietal foramina
ALX4	Potocki-Shaffer syndrome
AMACR	Congenital bile acid synthesis defect type 4
AMELX	Hypomaturation amelogenesis imperfecta
AMH	Persistent Mullerian duct syndrome
AMHR2	Persistent Mullerian duct syndrome
AMMECR1	Alport syndrome - intellectual deficit - midface hypoplasia - elliptocytosis
AMN	Gräsbeck-Imerslund disease
AMPD1	Adenosine monophosphate deaminase deficiency
AMPD3	Adenosine monophosphate deaminase deficiency
AMT	Isolated nonketotic hyperglycinemia
ANG	Amyotrophic lateral sclerosis
ANGPTL3	Benign familial hypobetalipoproteinemia
ANK1	8p11.2 deletion syndrome
ANK1	Hereditary spherocytosis
ANK2	Romano-Ward syndrome
ANKH	Craniometaphyseal dysplasia
ANKH	Familial articular chondrocalcinosis
ANKRD11	16q24.3 microdeletion syndrome
ANKRD11	KBG syndrome
ANKRD26	Autosomal thrombocytopenia with normal platelets
ANO10	Adult-onset autosomal recessive cerebellar ataxia
ANO5	Autosomal recessive limb-girdle muscular dystrophy type 2L
ANO5	Gnathodiaphyseal dysplasia
ANO5	Miyoshi myopathy
ANO6	Scott syndrome
ANTXR2	Infantile systemic hyalinosis
ANTXR2	Juvenile hyaline fibromatosis
AP1S1	MEDNIK syndrome
AP1S2	Fried syndrome
AP3B1	Hermansky-Pudlak syndrome with neutropenia
AP4B1	Severe intellectual deficit and progressive spastic paraplegia
AP4E1	Severe intellectual deficit and progressive spastic paraplegia
AP4M1	Severe intellectual deficit and progressive spastic paraplegia
AP4S1	Severe intellectual deficit and progressive spastic paraplegia
APC	APC-related attenuated familial adenomatous polyposis
APC	Desmoid disease
APC	Familial adenomatous polyposis
APC	Familial adenomatous polyposis due to 5q22.2 microdeletion
APC	Gardner syndrome
APC	Turcot syndrome with polyposis
APCDD1	Hypotrichosis simplex
APOA1	Apolipoprotein A-I deficiency
APOA1	Familial renal amyloidosis due to Apolipoprotein AI variant
APOA1	Primary amyloidosis
APOA2	Familial renal amyloidosis due to Apolipoprotein AII variant
APOA5	Hyperlipoproteinemia type 4
APOA5	Hyperlipoproteinemia type 5
APOB	Abetalipoproteinemia
APOB	Benign familial hypobetalipoproteinemia
APOC2	Hyperlipoproteinemia type 1
APOC3	Cholesterol-ester transfer protein deficiency
APOC4	Hyperlipoproteinemia type 1
APOE	Hyperlipidemia type 3
APOE	Sea-blue histiocytosis
APOL1	Sporadic idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis
APP	Early-onset autosomal dominant Alzheimer disease
APP	Hereditary cerebral hemorrhage with amyloidosis
APRT	2,8 dihydroxyadenine urolithiasis
APTX	Ataxia - oculomotor apraxia type 1
AQP2	Nephrogenic diabetes insipidus
AR	Complete androgen insensitivity syndrome
AR	Familial hypospadias
AR	Kennedy disease
AR	Partial androgen insensitivity syndrome
ARFGEF2	Periventricular nodular heterotopia
ARG1	Argininemia
ARHGAP31	Adams-Oliver syndrome
ARHGEF6	X-linked nonsyndromic intellectual deficit
ARHGEF9	Hyperekplexia - epilepsy
ARL11	Chronic B-cell lymphocytic leukemia
ARL13B	Joubert syndrome
ARL6	Bardet-Biedl syndrome
ARL6	Retinitis pigmentosa
ARSA	Metachromatic leukodystrophy
ARSB	Mucopolysaccharidosis type 6, rapidly progressing
ARSB	Mucopolysaccharidosis type 6, slowly progressing
ARSB	Multiple sulfatase deficiency
ARSE	Brachytelephalangic chondrodysplasia punctata
ARVCF	Monosomy 22q11
ARX	Early infantile epileptic encephalopathy
ARX	Micrencephaly - corpus callosum agenesis - abnormal genitalia
ARX	Partington syndrome
ARX	Spasticity - intellectual deficit - X-linked epilepsy
ARX	West syndrome
ARX	X-linked lissencephaly with abnormal genitalia
ARX	X-linked nonsyndromic intellectual deficit
ASAH1	Farber lipogranulomatosis
ASCL1	Haddad syndrome
ASCL1	Ondine syndrome
ASL	Argininosuccinic aciduria
ASPA	Canavan disease
ASPM	Autosomal recessive primary microcephaly
ASPSCR1	Alveolar soft-part sarcoma
ASS1	Acute neonatal citrullinemia type I
ASS1	Adult-onset citrullinemia type I
ATCAY	Cerebellar ataxia, Cayman type
ATF1	Melanoma of soft part
ATIC	AICA-ribosiduria
ATL1	Autosomal dominant spastic paraplegia type 3
ATL1	Hereditary sensory and autonomic neuropathy type 1
ATM	Ataxia-telangiectasia
ATM	Chronic B-cell lymphocytic leukemia
ATM	Mantle cell lymphoma
ATN1	Dentatorubral-pallidoluysian atrophy
ATP10A	Angelman syndrome
ATP13A2	Young adult-onset Parkinsonism
ATP1A2	Alternating hemiplegia of childhood
ATP1A2	Familial or sporadic hemiplegic migraine
ATP1A3	Rapid-onset dystonia-parkinsonism
ATP2A1	Brody myopathy
ATP2A2	Acrokeratosis verruciformis of Hopf
ATP2A2	Darier disease
ATP2C1	Familial benign chronic pemphigus
ATP5E	Isolated ATP synthase deficiency
ATP6AP2	X-linked intellectual deficit - epilepsy
ATP6V0A2	Autosomal recessive cutis laxa type 2
ATP6V0A2	Wrinkly skin syndrome
ATP6V0A4	Distal renal tubular acidosis
ATP6V1B1	Distal renal tubular acidosis
ATP7A	Menkes disease
ATP7A	Occipital horn syndrome
ATP7A	X-linked distal spinal muscular atrophy
ATP7B	Wilson disease
ATP8B1	Benign recurrent intrahepatic cholestasis
ATP8B1	Intrahepatic cholestasis of pregnancy
ATP8B1	Progressive familial intrahepatic cholestasis type 1
ATPAF2	Isolated ATP synthase deficiency
ATR	Seckel syndrome
ATRX	Alpha thalassemia - X-linked intellectual deficit
ATRX	Alpha-thalassemia - myelodysplastic syndrome
ATRX	Carpenter-Waziri syndrome
ATRX	Chudley-Lowry-Hoar syndrome
ATRX	Holmes-Gang syndrome
ATRX	Juberg-Marsidi syndrome
ATRX	Smith-Fineman-Myers syndrome
ATXN1	Spinocerebellar ataxia type 1
ATXN10	Joubert syndrome
ATXN10	Spinocerebellar ataxia type 10
ATXN2	Amyotrophic lateral sclerosis
ATXN2	Spinocerebellar ataxia type 2
ATXN3	Machado-Joseph disease type 1
ATXN3	Machado-Joseph disease type 2
ATXN3	Machado-Joseph disease type 3
ATXN7	Autosomal dominant spinocerebellar ataxia type 7
AUH	3-methylglutaconic aciduria type 1
AURKC	Male infertility associated with large-headed multiflagellar polyploid spermatozoa
AVP	Non-acquired isolated central diabetes insipidus
AVPR2	Inappropriate antidiuretic hormone secretion syndrome
AVPR2	Nephrogenic diabetes insipidus
B2M	Beta2-microglobulinic amyloidosis
B3GALTL	Peters-plus syndrome
B3GAT3	Larsen-like syndrome, B3GAT3 type
B4GALT1	CDG syndrome type IId
B4GALT7	Ehlers-Danlos syndrome, progeroid type
B9D1	Meckel syndrome
B9D2	Meckel syndrome
BAAT	Familial hypercholanemia
BAG3	Familial isolated dilated cardiomyopathy
BAG3	Muscular dystrophy, Selcen type
BANF1	Nestor-Guillermo progeria syndrome
BARD1	Hereditary breast and ovarian cancer syndrome
BAZ1B	Williams syndrome
BBS1	Bardet-Biedl syndrome
BBS10	Bardet-Biedl syndrome
BBS12	Bardet-Biedl syndrome
BBS2	Bardet-Biedl syndrome
BBS4	Bardet-Biedl syndrome
BBS5	Bardet-Biedl syndrome
BBS7	Bardet-Biedl syndrome
BBS9	Bardet-Biedl syndrome
BCHE	Butyrylcholinesterase deficiency
BCKDHA	Maple syrup urine disease
BCKDHB	Maple syrup urine disease
BCL11A	Hereditary persistence of fetal hemoglobin - beta-thalassemia
BCL2	Diffuse large B-cell lymphoma
BCL2	Follicular lymphoma
BCL6	Diffuse large B-cell lymphoma
BCL6	Follicular lymphoma
BCL7B	Williams syndrome
BCMO1	Hereditary hypercarotenemia and vitamin A deficiency
BCOR	Microphthalmia, Lenz type
BCOR	Oculofaciocardiodental syndrome
BCR	Chronic myeloid leukemia
BCR	Monosomy 22q11
BCR	Precursor B-cell acute lymphoblastic leukemia
BCR	Precursor T-cell acute lymphoblastic leukemia
BCS1L	Björnstad syndrome
BCS1L	GRACILE syndrome
BCS1L	Isolated CoQ-cytochrome C reductase deficiency
BCS1L	Leigh syndrome with nephrotic syndrome
BCS1L	Renal tubulopathy - encephalopathy - liver failure
BDNF	Ondine syndrome
BDNF	WAGR syndrome
BEST1	Adult-onset foveomacular vitelliform dystrophy
BEST1	Autosomal dominant vitreoretinochoroidopathy
BEST1	Best disease
BEST1	MRCS syndrome
BEST1	Retinitis pigmentosa
BEST1	Retinopathy, Burgess-Black type
BFSP1	Childhood-onset cortical cataract
BFSP2	Partial congenital cataract
BIN1	Autosomal recessive centronuclear myopathy
BIRC3	MALT lymphoma
BLK	MODY syndrome
BLM	Bloom syndrome
BLNK	Autosomal agammaglobulinemia
BLOC1S3	Hermansky-Pudlak syndrome type 8
BLVRA	Hyperbiliverdinemia
BMP15	46,XX gonadal dysgenesis
BMP2	20p12.3  microdeletion syndrome
BMP2	Brachydactyly type A2
BMP4	14q22q23 microdeletion syndrome
BMP4	Microphthalmia with brain and digit anomalies
BMPER	Diaphanospondylodysostosis
BMPR1A	Hereditary mixed polyposis syndrome
BMPR1A	Hereditary nonpolyposis colon cancer
BMPR1A	Juvenile gastrointestinal polyposis
BMPR1A	Juvenile polyposis of infancy
BMPR1B	Brachydactyly type A2
BMPR1B	Brachydactyly type C
BMPR2	Idiopathic and/or familial pulmonary arterial hypertension
BMPR2	Pulmonary venoocclusive disease
BPGM	Hemolytic anemia due to diphosphoglycerate mutase deficiency
BRAF	Cardiofaciocutaneous syndrome
BRAF	LEOPARD syndrome
BRAF	Noonan syndrome
BRCA1	Familial prostate cancer
BRCA1	Hereditary breast and ovarian cancer syndrome
BRCA1	Primary peritoneal carcinoma
BRCA2	Familial pancreatic carcinoma
BRCA2	Familial prostate cancer
BRCA2	Fanconi anemia
BRCA2	Hereditary breast and ovarian cancer syndrome
BRCA2	Nephroblastoma
BRCC3	Moyamoya disease - short stature - facial dysmorphism - hypergonadotropic hypogonadism
BRIP1	Fanconi anemia
BRIP1	Hereditary breast and ovarian cancer syndrome
BSCL2	Autosomal dominant spastic paraplegia type 17
BSCL2	Berardinelli-Seip congenital lipodystrophy
BSND	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
BSND	Infantile Bartter syndrome with deafness
BTD	Biotinidase deficiency
BTK	Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia
BTK	X-linked agammaglobulinemia
BUB1B	Mosaic variegated aneuploidy syndrome
C10orf2	Autosomal dominant progressive external ophthalmoplegia
C10orf2	Infantile onset spinocerebellar ataxia
C12orf65	Combined oxidative phosphorylation defect type 7
C12orf65	Leigh syndrome with cardiomyopathy
C14orf133	Arthrogryposis - renal dysfunction - cholestasis
C16orf57	Dyskeratosis congenita
C16orf57	Poikiloderma with neutropenia
C1QA	Immunodeficiency due to an early component of complement deficiency
C1QB	Immunodeficiency due to an early component of complement deficiency
C1QC	Immunodeficiency due to an early component of complement deficiency
C1QTNF5	Late-onset retinal degeneration
C1S	Immunodeficiency due to an early component of complement deficiency
C2	Immunodeficiency due to an early component of complement deficiency
C20orf54	Brown-Vialetto-van Laere syndrome
C20orf7	Isolated NADH-CoQ reductase deficiency
C2orf71	Retinitis pigmentosa
C3	Atypical hemolytic uremic syndrome with C3 anomaly
C3	Complement component 3 deficiency
C4A	Immunodeficiency due to an early component of complement deficiency
C4B	Immunodeficiency due to an early component of complement deficiency
C5	Immunodeficiency due to a late component of complements deficiency
C6	Immunodeficiency due to a late component of complements deficiency
C7	Immunodeficiency due to a late component of complements deficiency
C7orf10	Glutaric acidemia type 3
C7orf11	BIDS syndrome
C8A	Immunodeficiency due to a late component of complements deficiency
C8B	Immunodeficiency due to a late component of complements deficiency
C8G	Immunodeficiency due to a late component of complements deficiency
C8orf38	Leigh syndrome with leukodystrophy
C9	Immunodeficiency due to a late component of complements deficiency
CA2	Osteopetrosis with renal tubular acidosis
CA4	Retinitis pigmentosa
CABP4	Congenital stationary night blindness
CACNA1A	Alternating hemiplegia of childhood
CACNA1A	Benign paroxysmal torticollis of infancy
CACNA1A	Familial or sporadic hemiplegic migraine
CACNA1A	Familial paroxysmal ataxia
CACNA1A	Spinocerebellar ataxia type 6
CACNA1C	Brugada syndrome
CACNA1C	Timothy syndrome
CACNA1F	Cone rod dystrophy
CACNA1F	Congenital stationary night blindness
CACNA1F	Åland Island eye disease
CACNA1S	Hypokalemic periodic paralysis
CACNA1S	Malignant hyperthermia
CACNA1S	Thyrotoxic periodic paralysis
CACNA2D4	Cone rod dystrophy
CACNB2	Brugada syndrome
CACNB4	Episodic ataxia type 5
CACNB4	Juvenile myoclonic epilepsy
CAMKMT	2p21 microdeletion syndrome
CAMKMT	Atypical hypotonia - cystinuria syndrome
CANT1	Desbuquois syndrome
CAPN3	Autosomal recessive limb girdle muscular dystrophy type 2A
CARD9	Chronic mucocutaneous candidiasis
CASP10	Autoimmune lymphoproliferative syndrome
CASP8	Autoimmune lymphoproliferative syndrome
CASQ2	Catecholinergic polymorphic ventricular tachycardia
CASR	Autosomal dominant hypocalcemia
CASR	Bartter syndrome with hypocalcemia
CASR	Familial hypocalciuric hypercalcemia
CASR	Familial isolated hypoparathyroidism due to impaired PTH secretion
CASR	Neonatal severe primary hyperparathyroidism
CAT	Acatalasemia
CATSPER1	CATSPER1-related non syndromic male infertility
CATSPER2	Deafness-infertility syndrome
CAV1	Berardinelli-Seip congenital lipodystrophy
CAV3	Autosomal dominant limb-girdle muscular dystrophy type 1C
CAV3	Rippling muscle disease
CAV3	Romano-Ward syndrome
CBFB	Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22)
CBL	Noonan syndrome
CBS	Homocystinuria due to cystathionine beta-synthase deficiency
CBX2	46,XY complete gonadal dysgenesis
CC2D1A	Autosomal recessive nonsyndromic intellectual deficit
CC2D2A	Joubert syndrome with hepatic defect
CC2D2A	Joubert syndrome with oculorenal defect
CC2D2A	Meckel syndrome
CCBE1	Hennekam syndrome
CCDC39	Primary ciliary dyskinesia
CCDC40	Primary ciliary dyskinesia
CCDC50	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
CCDC6	Papillary or follicular thyroid carcinoma
CCDC8	3M syndrome
CCM2	Hereditary cerebral cavernous malformation
CCND1	Chronic B-cell lymphocytic leukemia
CCND1	Mantle cell lymphoma
CCT5	Sensory neuropathy - spastic paraplegia
CD19	Common variable immunodeficiency due to an intrinsic B cell defect
CD247	Severe combined immunodeficiency T- B+ due to CD3delta/CD3epsilon/CD3zeta
CD2AP	Familial idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis
CD320	Methylmalonic aciduria due to transcobalamin receptor defect
CD3D	Severe combined immunodeficiency T- B+ due to CD3delta/CD3epsilon/CD3zeta
CD3E	Severe combined immunodeficiency T- B+ due to CD3delta/CD3epsilon/CD3zeta
CD3G	Combined immunodeficiency due to CD3gamma deficiency
CD40	Hyper-IgM syndrome type 3
CD40LG	Hyper-IgM syndrome type 1
CD46	Atypical hemolytic uremic syndrome with MCP/CD46 anomaly
CD59	CD59 deficiency
CD79A	Autosomal agammaglobulinemia
CD79B	Autosomal agammaglobulinemia
CD81	Common variable immunodeficiency due to an intrinsic B cell defect
CD8A	Susceptibility to respiratory infections associated with CD8alpha chain mutation
CD96	C syndrome
CDAN1	Congenital dyserythropoietic anemia type 1
CDC6	Ear-patella-short stature syndrome
CDC73	Familial isolated hyperparathyroidism
CDC73	Familial parathyroid adenoma
CDC73	Hyperparathyroidism - jaw tumor syndrome
CDC73	Parathyroid carcinoma
CDH1	Familial gastric cancer
CDH1	Gastric linitis plastica
CDH15	Autosomal dominant nonsyndromic intellectual deficit
CDH23	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
CDH23	Usher syndrome type 1
CDH3	EEM syndrome
CDH3	Hypotrichosis with juvenile macular degeneration
CDHR1	Cone rod dystrophy
CDK4	Familial melanoma
CDK5RAP2	Autosomal recessive primary microcephaly
CDKL5	Atypical Rett syndrome
CDKL5	West syndrome
CDKN1B	Multiple endocrine neoplasia type 1
CDKN1B	Multiple endocrine neoplasia type 4
CDKN1C	Beckwith-Wiedemann syndrome due to CDKN1C mutation
CDKN2A	Familial melanoma
CDKN2A	Familial pancreatic carcinoma
CDKN2A	Melanoma neural system tumor syndrome
CDKN2A	Melanoma-pancreatic cancer syndrome
CDKN2A	Precursor B-cell acute lymphoblastic leukemia
CDKN2A	Precursor T-cell acute lymphoblastic leukemia
CDON	Holoprosencephaly
CDSN	Generalized peeling skin syndrome type B
CDSN	Hypotrichosis simplex of the scalp
CDT1	Ear-patella-short stature syndrome
CEACAM16	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
CEBPA	Acute myeloid leukemia with t(8;21)(q22;q22) translocation
CEBPE	Recurrent infection due to specific granule deficiency
CECR1	Cat-eye syndrome
CECR2	Cat-eye syndrome
CEL	MODY syndrome
CENPJ	Autosomal recessive primary microcephaly
CENPJ	Seckel syndrome
CEP152	Autosomal recessive primary microcephaly
CEP152	Seckel syndrome
CEP290	Bardet-Biedl syndrome
CEP290	Congenital Leber amaurosis
CEP290	Joubert syndrome with oculorenal defect
CEP290	Meckel syndrome
CEP290	Senior-Loken syndrome
CEP57	Mosaic variegated aneuploidy syndrome
CERKL	Retinitis pigmentosa
CETP	Cholesterol-ester transfer protein deficiency
CFB	Atypical hemolytic uremic syndrome with B factor anomaly
CFD	Recurrent Neisseria infections due to factor D deficiency
CFH	Atypical hemolytic uremic syndrome with H factor anomaly
CFH	Familial drusen
CFH	Immunodeficiency with factor H anomaly
CFH	Membranoproliferative glomerulonephritis
CFI	Atypical hemolytic uremic syndrome with I factor anomaly
CFI	C3 deposition glomerulonephritis without proliferation
CFI	Immunodeficiency with factor I anomaly
CFL2	Nemaline myopathy
CFP	Properdin deficiency
CFTR	Congenital bilateral absence of vas deferens
CFTR	Cystic fibrosis
CFTR	Hereditary chronic pancreatitis
CHAT	Presynaptic congenital myasthenic syndromes
CHD7	CHARGE syndrome
CHD7	Normosmic congenital hypogonadotropic hypogonadism
CHEK2	Familial prostate cancer
CHEK2	Hereditary breast and ovarian cancer syndrome
CHEK2	Li-Fraumeni syndrome
CHEK2	Osteosarcoma
CHGB	Amyotrophic lateral sclerosis
CHKB	Congenital muscular dystrophy due to phosphatidyl choline biosynthesis defect
CHL1	Distal monosomy 3p
CHM	Choroideremia
CHMP2B	Frontotemporal dementia
CHMP4B	Posterior polar cataract
CHN1	Duane syndrome
CHRNA1	Lethal multiple pterygium syndrome
CHRNA1	Postsynaptic congenital myasthenic syndromes
CHRNA2	Nocturnal frontal lobe epilepsy
CHRNA4	Nocturnal frontal lobe epilepsy
CHRNA7	15q13.3 microdeletion syndrome
CHRNB1	Postsynaptic congenital myasthenic syndromes
CHRNB2	Nocturnal frontal lobe epilepsy
CHRND	Lethal multiple pterygium syndrome
CHRND	Postsynaptic congenital myasthenic syndromes
CHRNE	Postsynaptic congenital myasthenic syndromes
CHRNG	Autosomal recessive multiple pterygium syndrome
CHRNG	Lethal multiple pterygium syndrome
CHST14	Adducted thumbs-arthrogryposis, Dundar type
CHST14	Brittle cornea syndrome
CHST3	Chondrodysplasia with multiple dislocations
CHST3	Humerospinal dysostosis
CHST3	Larsen syndrome
CHST3	Spondyloepiphyseal dysplasia, Omani type
CIC	Oligodendroglioma
CIITA	Immunodeficiency by defective expression of HLA class 2
CIRH1A	Hereditary North American Indian childhood cirrhosis
CISD2	Wolfram syndrome
CITED2	Atrial septal defect, ostium secundum type
CITED2	Atrial septal defect, sinus venosus type
CITED2	Single ventricular septal defect
CITED2	Situs inversus totalis
CITED2	Tetralogy of Fallot
CLCF1	Cold-induced sweating syndrome
CLCN1	Thomsen and Becker disease
CLCN2	Juvenile myoclonic epilepsy
CLCN5	Dent disease type 1
CLCN7	Albers-Schönberg osteopetrosis
CLCN7	Autosomal recessive malignant osteopetrosis
CLCN7	Intermediate osteopetrosis
CLCNKA	Infantile Bartter syndrome with deafness
CLCNKB	Classic Bartter syndrome
CLCNKB	Gitelman syndrome
CLCNKB	Infantile Bartter syndrome with deafness
CLDN1	Ichthyosis - hypotrichosis - sclerosing cholangitis
CLDN14	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
CLDN16	Familial hypomagnesemia with hypercalciuria and nephrocalcinosis
CLDN16	Hypomagnesemia with normocalciuria
CLDN19	Familial hypomagnesemia - hypercalciuria - nephrocalcinosis - severe ocular involvement
CLEC7A	Chronic mucocutaneous candidiasis
CLIP2	Williams syndrome
CLN3	CLN3 disease
CLN5	CLN5 disease
CLN6	CLN4A disease
CLN6	CLN6 disease
CLN8	CLN8 disease
CLN8	Progressive epilepsy - intellectual deficit, Finnish type
CLRN1	Retinitis pigmentosa
CLRN1	Usher syndrome type 3
CNBP	Proximal myotonic myopathy
CNGA1	Retinitis pigmentosa
CNGA3	Achromatopsia
CNGB1	Retinitis pigmentosa
CNGB3	Achromatopsia
