Approved Symbol	Gene family description
ACOT12	"Acyl CoA thioesterases", "StAR-related lipid transfer (START) domain containing"
ACOT13	"Acyl CoA thioesterases"
ACP1	"Protein tyrosine phosphatases / Class II Cys-based PTPs"
ACSBG1	"Acyl-CoA synthetases"
ACSBG2	"Acyl-CoA synthetases"
ACSF2	"Acyl-CoA synthetases"
ACSF3	"Acyl-CoA synthetases"
ACSL1	"Acyl-CoA synthetases"
ACSL3	"Acyl-CoA synthetases"
ACSL4	"Acyl-CoA synthetases"
ACSL5	"Acyl-CoA synthetases"
ACSL6	"Acyl-CoA synthetases"
ACSM1	"Acyl-CoA synthetases"
ACSM2A	"Acyl-CoA synthetases"
ACSM2B	"Acyl-CoA synthetases"
ACSM3	"Acyl-CoA synthetases"
ACSM4	"Acyl-CoA synthetases"
ACSM5	"Acyl-CoA synthetases"
ACSS1	"Acyl-CoA synthetases"
ACSS2	"Acyl-CoA synthetases"
ACSS3	"Acyl-CoA synthetases"
ACTL6A	"INO80 complex subunits"
ACTN1-AS1	"ncRNAs / Long non-coding RNAs"
ACTR5	"INO80 complex subunits"
ACTR8	"INO80 complex subunits"
ADAM1	"ADAM metallopeptidase domain containing"
ADAM2	"ADAM metallopeptidase domain containing"
ADAM3A	"ADAM metallopeptidase domain containing"
ADAM3B	"ADAM metallopeptidase domain containing"
ADAM5P	"ADAM metallopeptidase domain containing"
ADAM6	"ADAM metallopeptidase domain containing"
ADAM7	"ADAM metallopeptidase domain containing"
ADAM8	"ADAM metallopeptidase domain containing", "CD molecules"
ADAM9	"ADAM metallopeptidase domain containing"
ADAM10	"ADAM metallopeptidase domain containing", "CD molecules"
ADAM11	"ADAM metallopeptidase domain containing"
ADAM12	"ADAM metallopeptidase domain containing"
ADAM15	"ADAM metallopeptidase domain containing"
ADAM17	"ADAM metallopeptidase domain containing", "CD molecules"
ADAM18	"ADAM metallopeptidase domain containing"
ADAM19	"ADAM metallopeptidase domain containing"
ADAM20	"ADAM metallopeptidase domain containing"
ADAM21	"ADAM metallopeptidase domain containing"
ADAM22	"ADAM metallopeptidase domain containing"
ADAM23	"ADAM metallopeptidase domain containing"
ADAM24P	"ADAM metallopeptidase domain containing"
ADAM28	"ADAM metallopeptidase domain containing"
ADAM29	"ADAM metallopeptidase domain containing"
ADAM30	"ADAM metallopeptidase domain containing"
ADAM32	"ADAM metallopeptidase domain containing"
ADAM33	"ADAM metallopeptidase domain containing"
ADAMTS1	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS2	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS3	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS4	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS5	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS6	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS7	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS8	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS9	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS9-AS1	"ncRNAs / Long non-coding RNAs"
ADAMTS9-AS2	"ncRNAs / Long non-coding RNAs"
ADAMTS10	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS12	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS13	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS14	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS15	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS16	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS17	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS18	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS19	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAMTS20	"ADAM metallopeptidases with thrombospondin type 1 motif"
ADAP1	"ADP-ribosylation factor GTPase activating proteins"
ADAP2	"ADP-ribosylation factor GTPase activating proteins"
ADARB2-AS1	"ncRNAs / Long non-coding RNAs"
ADH1A	"Alcohol dehydrogenases"
ADH1B	"Alcohol dehydrogenases"
ADH1C	"Alcohol dehydrogenases"
ADH4	"Alcohol dehydrogenases"
ADH5	"Alcohol dehydrogenases"
ADH5P1~withdrawn	"Alcohol dehydrogenases"
ADH5P2	"Alcohol dehydrogenases"
ADH5P3	"Alcohol dehydrogenases"
ADH5P4	"Alcohol dehydrogenases"
ADH6	"Alcohol dehydrogenases"
ADH7	"Alcohol dehydrogenases"
ADHFE1	"Alcohol dehydrogenases"
ADIPOQ-AS1	"ncRNAs / Long non-coding RNAs"
ADNP	"Homeoboxes / ZF class"
ADNP2	"Zinc fingers, C2H2-type", "Homeoboxes / ZF class"
ADRA1A	"Adrenergic receptors / alpha"
ADRA1B	"Adrenergic receptors / alpha"
ADRA1D	"Adrenergic receptors / alpha"
ADRA2A	"Adrenergic receptors / alpha"
ADRA2B	"Adrenergic receptors / alpha"
ADRA2C	"Adrenergic receptors / alpha"
ADRB1	"Adrenergic receptors / beta"
ADRB2	"Adrenergic receptors / beta"
ADRB3	"Adrenergic receptors / beta"
ADRBK1	"Adrenergic receptors / beta"
ADRBK2	"Adrenergic receptors / beta"
AFAP1-AS1	"ncRNAs / Long non-coding RNAs"
AFF2-IT1	"ncRNAs / Long non-coding RNAs"
AFG3L1P	"ATPases / AAA-type"
AFG3L2	"ATPases / AAA-type"
AGAP1	"ADP-ribosylation factor GTPase activating proteins"
AGAP1-IT1	"ncRNAs / Long non-coding RNAs"
AGAP2	"ADP-ribosylation factor GTPase activating proteins"
AGAP3	"ADP-ribosylation factor GTPase activating proteins"
AGAP4	"ADP-ribosylation factor GTPase activating proteins"
AGAP5	"ADP-ribosylation factor GTPase activating proteins"
AGAP6	"ADP-ribosylation factor GTPase activating proteins"
AGAP7	"ADP-ribosylation factor GTPase activating proteins"
AGAP8	"ADP-ribosylation factor GTPase activating proteins"
AGAP9	"ADP-ribosylation factor GTPase activating proteins"
AGAP10	"ADP-ribosylation factor GTPase activating proteins"
AGAP11	"ADP-ribosylation factor GTPase activating proteins"
AGBL4-IT1	"ncRNAs / Long non-coding RNAs"
AGBL5-AS1	"ncRNAs / Long non-coding RNAs"
AGBL5-IT1	"ncRNAs / Long non-coding RNAs"
AGFG1	"ADP-ribosylation factor GTPase activating proteins"
AGFG2	"ADP-ribosylation factor GTPase activating proteins"
AGPAT4-IT1	"ncRNAs / Long non-coding RNAs"
AGR2	"Protein disulfide isomerases"
AGR3	"Protein disulfide isomerases"
AGRN	"Proteoglycans / Extracellular Matrix : Other"
AGT	"Serine (or cysteine) peptidase inhibitors"
AHR	"Basic helix-loop-helix proteins"
AHRR	"Basic helix-loop-helix proteins"
AICDA	"Apolipoprotein B mRNA editing enzymes"
AIRN	"ncRNAs / Long non-coding RNAs"
AK1	"Adenylate kinases"
AK2	"Adenylate kinases"
AK4	"Adenylate kinases"
AK5	"Adenylate kinases"
AK6~withdrawn	"Adenylate kinases"
AK7	"Adenylate kinases"
AK8	"Adenylate kinases"
AKAP1	"A-kinase anchor proteins", "Protein phosphatase 1, regulatory (inhibitor) subunits"
AKAP2	"A-kinase anchor proteins"
AKAP3	"A-kinase anchor proteins"
AKAP4	"A-kinase anchor proteins"
AKAP5	"A-kinase anchor proteins"
AKAP6	"A-kinase anchor proteins"
AKAP7	"A-kinase anchor proteins"
AKAP8	"A-kinase anchor proteins"
AKAP9	"A-kinase anchor proteins", "Protein phosphatase 1, regulatory (inhibitor) subunits"
AKAP10	"A-kinase anchor proteins"
AKAP11	"A-kinase anchor proteins", "Protein phosphatase 1, regulatory (inhibitor) subunits"
AKAP11-IT1	"ncRNAs / Long non-coding RNAs"
AKAP12	"A-kinase anchor proteins"
AKAP13	"A-kinase anchor proteins", "Rho guanine nucleotide exchange factors"
AKAP14	"A-kinase anchor proteins"
AKAP17A	"Pseudoautosomal regions / PAR1", "A-kinase anchor proteins"
AKIRIN2-AS1	"ncRNAs / Long non-coding RNAs"
AKR1A1	"Aldo-keto reductases"
AKR1B1	"Aldo-keto reductases"
AKR1B10	"Aldo-keto reductases"
AKR1B11~withdrawn	"Aldo-keto reductases"
AKR1B15	"Aldo-keto reductases"
AKR1C1	"Aldo-keto reductases"
AKR1C2	"Aldo-keto reductases"
AKR1C3	"Aldo-keto reductases"
AKR1C4	"Aldo-keto reductases"
AKR1D1	"Aldo-keto reductases"
AKR1E2	"Aldo-keto reductases"
AKR7A2	"Aldo-keto reductases"
AKR7A3	"Aldo-keto reductases"
AKT3-IT1	"ncRNAs / Long non-coding RNAs"
AKTIP	"Ubiquitin-conjugating enzymes E2"
ALCAM	"CD molecules"
ALDH1A1	"Aldehyde dehydrogenases"
ALDH1A2	"Aldehyde dehydrogenases"
ALDH1A3	"Aldehyde dehydrogenases"
ALDH1B1	"Aldehyde dehydrogenases"
ALDH1L1	"Aldehyde dehydrogenases"
ALDH1L1-AS1	"ncRNAs / Long non-coding RNAs"
ALDH1L1-AS2	"ncRNAs / Long non-coding RNAs"
ALDH1L2	"Aldehyde dehydrogenases"
ALDH2	"Aldehyde dehydrogenases"
ALDH3A1	"Aldehyde dehydrogenases"
ALDH3A2	"Aldehyde dehydrogenases"
ALDH3B1	"Aldehyde dehydrogenases"
ALDH3B2	"Aldehyde dehydrogenases"
ALDH4A1	"Aldehyde dehydrogenases"
ALDH5A1	"Aldehyde dehydrogenases"
ALDH6A1	"Aldehyde dehydrogenases"
ALDH7A1	"Aldehyde dehydrogenases"
ALDH7A1P1	"Aldehyde dehydrogenases"
ALDH8A1	"Aldehyde dehydrogenases"
ALDH9A1	"Aldehyde dehydrogenases"
ALDH16A1	"Aldehyde dehydrogenases"
ALDH18A1	"Aldehyde dehydrogenases"
ALG9-IT1	"ncRNAs / Long non-coding RNAs"
ALG13-AS1	"ncRNAs / Long non-coding RNAs"
ALK	"CD molecules"
ALKBH1	"Alkylation repair homologs"
ALKBH2	"Alkylation repair homologs"
ALKBH3	"Alkylation repair homologs"
ALKBH4	"Alkylation repair homologs"
ALKBH5	"Alkylation repair homologs"
ALKBH6	"Alkylation repair homologs"
ALKBH7	"Alkylation repair homologs"
ALKBH8	"Alkylation repair homologs"
ALMS1-IT1	"ncRNAs / Long non-coding RNAs"
ALOX5	"Arachidonate lipoxygenases"
ALOX12	"Arachidonate lipoxygenases"
ALOX12B	"Arachidonate lipoxygenases"
ALOX12P1	"Arachidonate lipoxygenases"
ALOX12P2	"Arachidonate lipoxygenases"
ALOX15	"Arachidonate lipoxygenases"
ALOX15B	"Arachidonate lipoxygenases"
ALOX15P1	"Arachidonate lipoxygenases"
ALOXE3	"Arachidonate lipoxygenases"
ALS2	"Rho guanine nucleotide exchange factors"
ALX1	"Homeoboxes / PRD class"
ALX3	"Homeoboxes / PRD class"
ALX4	"Homeoboxes / PRD class"
AMBRA1	"WD repeat domain containing", "DDB1 and CUL4 associated factors"
AMDP1	"Pseudoautosomal regions / PAR2"
AMFR	"RING-type zinc fingers"
AMMECR1-IT1	"ncRNAs / Long non-coding RNAs"
ANAPC1	"Anaphase promoting complex subunits"
ANAPC2	"Anaphase promoting complex subunits"
ANAPC4	"Anaphase promoting complex subunits"
ANAPC5	"Anaphase promoting complex subunits"
ANAPC7	"Anaphase promoting complex subunits"
ANAPC10	"Anaphase promoting complex subunits"
ANAPC11	"Anaphase promoting complex subunits"
ANAPC13	"Anaphase promoting complex subunits"
ANAPC16	"Anaphase promoting complex subunits"
ANG	"Ribonucleases, RNase A"
ANKFY1	"Zinc fingers, FYVE domain containing"
ANKMY1	"Zinc fingers, MYND-type"
ANKMY2	"Zinc fingers, MYND-type"
ANKRD10-IT1	"ncRNAs / Long non-coding RNAs"
ANKRD20A19P	"ncRNAs / Long non-coding RNAs"
ANKRD28	"Protein phosphatase 6, regulatory (inhibitor) subunits", "Protein phosphatase 1, regulatory (inhibitor) subunits"
ANKRD33B-AS1	"ncRNAs / Long non-coding RNAs"
ANKRD33B-IT1	"ncRNAs / Long non-coding RNAs"
ANKRD44	"Protein phosphatase 6, regulatory (inhibitor) subunits"
ANKRD44-IT1	"ncRNAs / Long non-coding RNAs"
ANKRD52	"Protein phosphatase 6, regulatory (inhibitor) subunits"
ANO1	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO1-AS1	"ncRNAs / Long non-coding RNAs"
ANO1-AS2	"ncRNAs / Long non-coding RNAs"
ANO2	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO3	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO4	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO5	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO6	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO7	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO8	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO9	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANO10	"Anoctamins", "Ion channels / Chloride channels : Calcium activated"
ANP32A	"ANP32 acidic nuclear phosphoproteins"
ANP32A-IT1	"ncRNAs / Long non-coding RNAs"
ANP32B	"ANP32 acidic nuclear phosphoproteins"
ANP32C	"ANP32 acidic nuclear phosphoproteins"
ANP32D	"ANP32 acidic nuclear phosphoproteins"
ANP32E	"ANP32 acidic nuclear phosphoproteins"
ANPEP	"CD molecules"
ANXA1	"Annexins"
ANXA2	"Annexins"
ANXA2P1	"Annexins"
ANXA2P2	"Annexins"
ANXA2P3	"Annexins"
ANXA3	"Annexins"
ANXA4	"Annexins"
ANXA5	"Annexins"
ANXA6	"Annexins"
ANXA7	"Annexins"
ANXA8	"Annexins"
ANXA8L1	"Annexins"
ANXA8L2	"Annexins"
ANXA9	"Annexins"
ANXA10	"Annexins"
ANXA11	"Annexins"
ANXA13	"Annexins"
AOAH-IT1	"ncRNAs / Long non-coding RNAs"
APC	"Protein phosphatase 1, regulatory (inhibitor) subunits"
APOBEC1	"Apolipoprotein B mRNA editing enzymes"
APOBEC2	"Apolipoprotein B mRNA editing enzymes"
APOBEC3A	"Apolipoprotein B mRNA editing enzymes"
APOBEC3B	"Apolipoprotein B mRNA editing enzymes"
APOBEC3C	"Apolipoprotein B mRNA editing enzymes"
APOBEC3D	"Apolipoprotein B mRNA editing enzymes"
APOBEC3E~withdrawn	"Apolipoprotein B mRNA editing enzymes"
APOBEC3F	"Apolipoprotein B mRNA editing enzymes"
APOBEC3G	"Apolipoprotein B mRNA editing enzymes"
APOBEC3H	"Apolipoprotein B mRNA editing enzymes"
APOBEC4	"Apolipoprotein B mRNA editing enzymes"
APOD	"Lipocalins"
AQP1	"Ion channels / Aquaporins", "Blood group antigens"
AQP2	"Ion channels / Aquaporins"
AQP3	"Ion channels / Aquaporins", "Blood group antigens"
AQP4	"Ion channels / Aquaporins"
AQP5	"Ion channels / Aquaporins"
AQP6	"Ion channels / Aquaporins"
AQP7	"Ion channels / Aquaporins"
AQP7P1	"Ion channels / Aquaporins"
AQP7P2	"Ion channels / Aquaporins"
AQP7P3	"Ion channels / Aquaporins"
AQP7P4	"Ion channels / Aquaporins"
AQP8	"Ion channels / Aquaporins"
AQP9	"Ion channels / Aquaporins"
AQP10	"Ion channels / Aquaporins"
AQP11	"Ion channels / Aquaporins"
AQP12A	"Ion channels / Aquaporins"
AQP12B	"Ion channels / Aquaporins"
ARAP1	"ADP-ribosylation factor GTPase activating proteins"
ARAP1-AS1	"ncRNAs / Long non-coding RNAs"
ARAP1-AS2	"ncRNAs / Long non-coding RNAs"
ARAP2	"ADP-ribosylation factor GTPase activating proteins"
ARAP3	"ADP-ribosylation factor GTPase activating proteins"
ARF1	"ADP-ribosylation factors"
ARF2~withdrawn	"ADP-ribosylation factors"
ARF3	"ADP-ribosylation factors"
ARF4	"ADP-ribosylation factors"
ARF5	"ADP-ribosylation factors"
ARF6	"ADP-ribosylation factors"
ARFGAP1	"ADP-ribosylation factor GTPase activating proteins"
ARFGAP2	"Zinc fingers, C2H2-type", "ADP-ribosylation factor GTPase activating proteins"
ARFGAP3	"ADP-ribosylation factor GTPase activating proteins"
ARFGEF1	"ADP-ribosylation factor guanine nucleotide-exchange factor family"
ARFGEF2	"ADP-ribosylation factor guanine nucleotide-exchange factor family", "A-kinase anchor proteins"
ARGFX	"Homeoboxes / PRD class"
ARGFXP1	"Homeoboxes / PRD class"
ARGFXP2	"Homeoboxes / PRD class"
ARHGAP1	"Rho GTPase activating proteins"
ARHGAP4	"Rho GTPase activating proteins"
ARHGAP5	"Rho GTPase activating proteins"
ARHGAP5-AS1	"ncRNAs / Long non-coding RNAs"
ARHGAP6	"Rho GTPase activating proteins"
ARHGAP8	"Rho GTPase activating proteins"
ARHGAP9	"Rho GTPase activating proteins"
ARHGAP10	"Rho GTPase activating proteins"
ARHGAP11A	"Rho GTPase activating proteins"
ARHGAP11B	"Rho GTPase activating proteins"
ARHGAP12	"Rho GTPase activating proteins"
ARHGAP15	"Rho GTPase activating proteins"
ARHGAP16P	"Rho GTPase activating proteins"
ARHGAP17	"Rho GTPase activating proteins"
ARHGAP18	"Rho GTPase activating proteins"
ARHGAP19	"Rho GTPase activating proteins"
ARHGAP20	"Rho GTPase activating proteins"
ARHGAP21	"Rho GTPase activating proteins"
ARHGAP22	"Rho GTPase activating proteins"
ARHGAP22-IT1	"ncRNAs / Long non-coding RNAs"
ARHGAP23	"Rho GTPase activating proteins"
ARHGAP24	"Rho GTPase activating proteins"
ARHGAP25	"Rho GTPase activating proteins"
ARHGAP26	"Rho GTPase activating proteins"
ARHGAP26-AS1	"ncRNAs / Long non-coding RNAs"
ARHGAP26-IT1	"ncRNAs / Long non-coding RNAs"
ARHGAP27	"Rho GTPase activating proteins"
ARHGAP28	"Rho GTPase activating proteins"
ARHGAP29	"Rho GTPase activating proteins"
ARHGAP30	"Rho GTPase activating proteins"
ARHGAP31	"Rho GTPase activating proteins"
ARHGAP31-AS1	"ncRNAs / Long non-coding RNAs"
ARHGAP32	"Rho GTPase activating proteins"
ARHGAP33	"Rho GTPase activating proteins"
ARHGAP35	"Rho GTPase activating proteins"
ARHGAP36	"Rho GTPase activating proteins"
ARHGAP39	"Rho GTPase activating proteins"
ARHGAP40	"Rho GTPase activating proteins"
ARHGAP42	"Rho GTPase activating proteins"
ARHGAP44	"Rho GTPase activating proteins"
ARHGEF1	"Rho guanine nucleotide exchange factors"
ARHGEF2	"Rho guanine nucleotide exchange factors"
ARHGEF3	"Rho guanine nucleotide exchange factors"
ARHGEF3-AS1	"ncRNAs / Long non-coding RNAs"
ARHGEF4	"Rho guanine nucleotide exchange factors"
ARHGEF5	"Rho guanine nucleotide exchange factors"
ARHGEF6	"Rho guanine nucleotide exchange factors"
ARHGEF7	"Rho guanine nucleotide exchange factors"
ARHGEF7-AS1	"ncRNAs / Long non-coding RNAs"
ARHGEF7-AS2	"ncRNAs / Long non-coding RNAs"
ARHGEF7-IT1	"ncRNAs / Long non-coding RNAs"
ARHGEF9	"Rho guanine nucleotide exchange factors"
ARHGEF9-IT1	"ncRNAs / Long non-coding RNAs"
ARHGEF10	"Rho guanine nucleotide exchange factors"
ARHGEF10L	"Rho guanine nucleotide exchange factors"
ARHGEF11	"Rho guanine nucleotide exchange factors"
ARHGEF12	"Rho guanine nucleotide exchange factors"
ARHGEF15	"Rho guanine nucleotide exchange factors"
ARHGEF16	"Rho guanine nucleotide exchange factors"
ARHGEF17	"Rho guanine nucleotide exchange factors"
ARHGEF18	"Rho guanine nucleotide exchange factors"
ARHGEF19	"Rho guanine nucleotide exchange factors"
ARHGEF19-AS1	"ncRNAs / Long non-coding RNAs"
ARHGEF25	"Rho guanine nucleotide exchange factors"
ARHGEF26-AS1	"ncRNAs / Long non-coding RNAs"
ARHGEF38-IT1	"ncRNAs / Long non-coding RNAs"
ARID4B-IT1	"ncRNAs / Long non-coding RNAs"
ARL1	"ADP-ribosylation factors-like"
ARL2	"ADP-ribosylation factors-like"
ARL3	"ADP-ribosylation factors-like"
ARL4A	"ADP-ribosylation factors-like"
ARL4C	"ADP-ribosylation factors-like"
ARL4D	"ADP-ribosylation factors-like"
ARL4P	"ADP-ribosylation factors-like"
ARL4P2	"ADP-ribosylation factors-like"
ARL5A	"ADP-ribosylation factors-like"
ARL5B	"ADP-ribosylation factors-like"
ARL5C	"ADP-ribosylation factors-like"
ARL6	"ADP-ribosylation factors-like"
ARL8A	"ADP-ribosylation factors-like"
ARL8B	"ADP-ribosylation factors-like"
ARL9	"ADP-ribosylation factors-like"
ARL10	"ADP-ribosylation factors-like"
ARL11	"ADP-ribosylation factors-like"
ARL13A	"ADP-ribosylation factors-like"
ARL13B	"ADP-ribosylation factors-like"
ARL14	"ADP-ribosylation factors-like"
ARL15	"ADP-ribosylation factors-like"
ARL16	"ADP-ribosylation factors-like"
ARL17A	"ADP-ribosylation factors-like"
ARL17B	"ADP-ribosylation factors-like"
ARMC2-AS1	"ncRNAs / Long non-coding RNAs"
ARMCX3-AS1	"ncRNAs / Long non-coding RNAs"
ARNT	"Basic helix-loop-helix proteins"
ARNT2	"Basic helix-loop-helix proteins"
ARNTL	"Basic helix-loop-helix proteins"
ARNTL2	"Basic helix-loop-helix proteins"
ARPC1A	"Actin related protein 2/3 complex subunits"
ARPC1B	"Actin related protein 2/3 complex subunits"
ARPC2	"Actin related protein 2/3 complex subunits"
ARPC3	"Actin related protein 2/3 complex subunits"
ARPC3P1	"Actin related protein 2/3 complex subunits"
ARPC3P2	"Actin related protein 2/3 complex subunits"
ARPC3P3	"Actin related protein 2/3 complex subunits"
ARPC3P4	"Actin related protein 2/3 complex subunits"
ARPC3P5	"Actin related protein 2/3 complex subunits"
ARPC4	"Actin related protein 2/3 complex subunits"
ARPC5	"Actin related protein 2/3 complex subunits"
ARPC5L	"Actin related protein 2/3 complex subunits"
ARPP21-AS1	"ncRNAs / Long non-coding RNAs"
ARSD-AS1	"ncRNAs / Long non-coding RNAs"
ART1	"CD molecules"
ART4	"CD molecules", "Blood group antigens"
ARX	"Homeoboxes / PRD class"
ASAP1	"ADP-ribosylation factor GTPase activating proteins"
ASAP1-IT1	"ncRNAs / Long non-coding RNAs"
ASAP2	"ADP-ribosylation factor GTPase activating proteins"
ASAP3	"ADP-ribosylation factor GTPase activating proteins"
ASCL1	"Basic helix-loop-helix proteins"
ASCL2	"Basic helix-loop-helix proteins"
ASCL3	"Basic helix-loop-helix proteins"
ASCL4	"Basic helix-loop-helix proteins"
ASCL5	"Basic helix-loop-helix proteins"
ASGR1	"C-type lectin domain containing"
ASGR2	"C-type lectin domain containing"
ASH1L	"Chromatin-modifying enzymes / K-methyltransferases"
ASH1L-IT1	"ncRNAs / Long non-coding RNAs"
ASIC1	"Ion channels / Acid-sensing (proton-gated) ion channels"
ASIC2	"Ion channels / Acid-sensing (proton-gated) ion channels"
ASIC3	"Ion channels / Acid-sensing (proton-gated) ion channels"
ASIC4	"Ion channels / Acid-sensing (proton-gated) ion channels"
ASMT	"Pseudoautosomal regions / PAR1"
ASMTL	"Pseudoautosomal regions / PAR1"
ASMTL-AS1	"Pseudoautosomal regions / PAR1", "ncRNAs / Long non-coding RNAs"
ASPN	"Proteoglycans / Extracellular Matrix : Small leucine-rich repeats"
ASPSCR1	"UBX domain containing"
ATAD1	"ATPases / AAA-type"
ATAD2	"ATPases / AAA-type"
