gene	disease
DNAAF2	primary ciliary dyskinesia
DNAH11	primary ciliary dyskinesia
DNAH5	primary ciliary dyskinesia
DNAI1	primary ciliary dyskinesia
DNAI2	primary ciliary dyskinesia
DNAJC30	Williams-Beuren syndrome
DNAJC30	supravalvular aortic stenosis
DNASE1	systemic lupus erythematosus
DPYD	dihydropyrimidine dehydrogenase deficiency
DRD3	schizophrenia
DRD4	Parkinson's disease
DRD5	blepharospasm
DSG2	dilated cardiomyopathy
DSPP	dentin dysplasia
DSPP	dentinogenesis imperfecta
DTNBP1	Hermansky-Pudlak syndrome
DTNBP1	schizophrenia
DYSF	distal muscular dystrophy
DYSF	limb-girdle muscular dystrophy
ECE1	essential hypertension
ECM1	lipoid proteinosis
EDA	hypohidrotic ectodermal dysplasia
EDAR	hypohidrotic ectodermal dysplasia
EDARADD	hypohidrotic ectodermal dysplasia
EDN3	Hirschsprung's disease
EDN3	Waardenburg's syndrome
EDNRA	migraine
EDNRB	Hirschsprung's disease
EDNRB	Waardenburg's syndrome
EFHC1	juvenile myoclonic epilepsy
EFNB1	craniofrontonasal syndrome
EGF	colon carcinoma
EGF	colorectal cancer
EGFR	lung carcinoma
EIF4H	Williams-Beuren syndrome
EIF4H	supravalvular aortic stenosis
ELAC2	prostate cancer
ELANE	cyclic hematopoiesis
ELN	Williams-Beuren syndrome
ELN	supravalvular aortic stenosis
EMD	Emery-Dreifuss muscular dystrophy
ENAM	amelogenesis imperfecta
ENG	hereditary hemorrhagic telangiectasia
ENPP1	obesity
ENPP1	type 2 diabetes mellitus
EP300	Rubinstein-Taybi syndrome
EP300	colon carcinoma
EP300	colorectal cancer
EPB41	hereditary elliptocytosis
EPHA3	colon carcinoma
EPHA3	colorectal cancer
EPHB2	prostate cancer
EPHX1	pre-eclampsia
EPM2A	Lafora disease
ERBB2	lung carcinoma
ERBB2	malignant glioma
ERBB2	ovarian cancer
ERBB2	stomach cancer
ERC1	papillary thyroid carcinoma
ERCC2	photosensitive trichthiodystrophy
ERCC3	photosensitive trichthiodystrophy
ERCC6	Cockayne syndrome
ERCC6	age related macular degeneration
ERCC6	lung carcinoma
ERCC8	Cockayne syndrome
ERG	peripheral primitive neuroectodermal tumor
ESCO2	Roberts syndrome
ESR1	migraine
ETV1	peripheral primitive neuroectodermal tumor
ETV4	peripheral primitive neuroectodermal tumor
ETV6	acute myeloid leukemia
EVC	Ellis-Van Creveld syndrome
EVC2	Ellis-Van Creveld syndrome
EWSR1	peripheral primitive neuroectodermal tumor
EXT1	Langer-Giedion syndrome
EXT1	chondrosarcoma
EXT1	hereditary multiple exostoses
EXT2	hereditary multiple exostoses
EYA1	branchiootorenal syndrome
EYA4	dilated cardiomyopathy
EYS	retinitis pigmentosa
F11	factor XI deficiency
F12	factor XII deficiency
F12	hereditary angioedema
F13A1	factor XIII deficiency
F13A1	thrombophilia
F13B	factor XIII deficiency
F2	cerebrovascular accident
F2	prothrombin deficiency
F2	thrombophilia
F5	cerebrovascular accident
F5	factor V deficiency
F8	factor VIII deficiency
F9	hemophilia B
FAM161A	retinitis pigmentosa
FAM83H	amelogenesis imperfecta
FANCA	Fanconi's anemia
FANCB	Fanconi's anemia
FANCC	Fanconi's anemia
FANCD2	Fanconi's anemia
FANCE	Fanconi's anemia
FANCF	Fanconi's anemia
FANCG	Fanconi's anemia
FANCI	Fanconi's anemia
FANCL	Fanconi's anemia
FANCM	Fanconi's anemia
FAS	autoimmune lymphoproliferative syndrome
FASLG	autoimmune lymphoproliferative syndrome
FASLG	systemic lupus erythematosus
FASTKD2	cytochrome-c oxidase deficiency
FBLN5	age related macular degeneration
FBN1	Marfan syndrome
FBP1	fructose-1,6-bisphosphatase deficiency
FBXO7	Parkinson's disease
FCGR2B	systemic lupus erythematosus
FCGR2C	autoimmune thrombocytopenic purpura
FCGR3A	systemic lupus erythematosus
FCRL3	rheumatoid arthritis
FECH	erythropoietic protoporphyria
FERMT3	leukocyte adhesion deficiency
FEV	sudden infant death syndrome
FGA	congenital afibrinogenemia
FGB	congenital afibrinogenemia
FGD1	Aarskog-Scott syndrome
FGF14	spinocerebellar ataxia
FGF20	Parkinson's disease
FGF8	Kallmann syndrome
FGFR1	Kallmann syndrome
FGFR1	Pfeiffer syndrome
FGFR2	Crouzon syndrome
FGFR2	Pfeiffer syndrome
FGFR2	Saethre-Chotzen syndrome
FGFR2	acrocephalosyndactylia
FGFR2	stomach cancer
FGFR3	Saethre-Chotzen syndrome
FGFR3	achondroplasia
FGFR3	cervix carcinoma
FGFR3	colon carcinoma
FGFR3	colorectal cancer
FGFR3	multiple myeloma
FGFR3	seborrheic keratosis
FGFR3	seminoma
FGFR3	testicular cancer
FGFR3	testicular germ cell cancer
FGFR3	thanatophoric dysplasia
FGFR3	urinary bladder cancer
FGG	congenital afibrinogenemia
FGGY	amyotrophic lateral sclerosis
FHL1	Emery-Dreifuss muscular dystrophy
FIG4	amyotrophic lateral sclerosis
FIGLA	premature ovarian failure
FKBP10	age related macular degeneration
FKBP10	osteogenesis imperfecta
FKBP5	endogenous depression
FKBP6	Williams-Beuren syndrome
FKBP6	supravalvular aortic stenosis
FKRP	limb-girdle muscular dystrophy
FKTN	limb-girdle muscular dystrophy
FLCN	colon carcinoma
FLCN	colorectal cancer
FLG	atopic dermatitis
FLG	ichthyosis vulgaris
FLI1	peripheral primitive neuroectodermal tumor
FLNA	FG syndrome
FLNB	Larsen syndrome
FLT3	acute myeloid leukemia
FMR1	fragile X syndrome
FMR1	premature ovarian failure
FOXC1	Axenfeld-Rieger syndrome
FOXE3	congenital aphakia
FOXF1	persistent fetal circulation syndrome
FOXG1	Rett syndrome
FOXL2	blepharophimosis, ptosis, and epicanthus inversus syndrome
FOXL2	premature ovarian failure
FOXO1	alveolar rhabdomyosarcoma
FOXP3	type 1 diabetes mellitus
FOXRED1	Leigh disease
FSCN2	retinitis pigmentosa
FSHR	ovarian hyperstimulation syndrome
FST	polycystic ovary syndrome
FTO	obesity
FUCA1	fucosidosis
FUS	amyotrophic lateral sclerosis
FUS	myxoid liposarcoma
FXN	Friedreich ataxia
FXYD6	schizophrenia
G6PC	glycogen storage disease I
G6PD	glucosephosphate dehydrogenase deficiency
GAA	glycogen storage disease II
GABRA1	juvenile myoclonic epilepsy
GABRG2	infantile epileptic encephalopathy
GALC	Krabbe disease
GALK1	galactokinase deficiency
GALNS	mucopolysaccharidosis IV
GATA1	Down syndrome
GATA2	acute myeloid leukemia
GATA4	atrial heart septal defect
GBA	Gaucher's disease
GBA	Parkinson's disease
GBE1	glycogen storage disease IV
GC	Graves' disease
GC	thyrotoxicosis
GCGR	type 2 diabetes mellitus
GCK	hyperinsulinemic hypoglycemia
GCK	type 2 diabetes mellitus
GCSH	glycine encephalopathy
GDF1	double outlet right ventricle
GDF1	tetralogy of Fallot
GDF3	Klippel-Feil syndrome
GDF3	microphthalmia
GDF6	Klippel-Feil syndrome
GDF6	coloboma
GDF6	microphthalmia
GDNF	Hirschsprung's disease
GFAP	Alexander disease
GHR	Laron syndrome
GHRL	obesity
GIGYF2	Parkinson's disease
GJA1	Hallermann-Streiff syndrome
GJA1	hypoplastic left heart syndrome
GJB6	Clouston syndrome
GJC2	hereditary spastic paraplegia
GLA	Fabry disease
GLB1	gangliosidosis GM1
GLB1	mucopolysaccharidosis IV
GLDC	glycine encephalopathy
GLI2	holoprosencephaly
GLI3	Greig cephalopolysyndactyly syndrome
GLI3	Pallister-Hall syndrome
GLI3	acrocallosal syndrome
GLI3	polydactyly
GLIS2	nephronopthisis
GLO1	autistic disorder
GLUD1	hyperinsulinemic hypoglycemia
GM2A	Tay-Sachs disease AB variant
GMPS	acute myeloid leukemia
GNAS	ACTH-secreting pituitary adenoma
GNAS	McCune Albright Syndrome
GNAS	colon carcinoma
GNAS	colorectal cancer
GNAS	growth hormone secreting pituitary adenoma
GNAS	pseudohypoparathyroidism
GNAS	pseudopseudohypoparathyroidism
GNB3	essential hypertension
GNE	sialuria
GNPAT	rhizomelic chondrodysplasia punctata
GNS	mucopolysaccharidosis III
GOLGA5	papillary thyroid carcinoma
GP1BA	Bernard-Soulier syndrome
GP1BB	Bernard-Soulier syndrome
GP9	Bernard-Soulier syndrome
GPC3	nephroblastoma
GPD1L	sudden infant death syndrome
GPD2	type 2 diabetes mellitus
GPIHBP1	hyperlipoproteinemia type V
GRHPR	primary hyperoxaluria
GRK1	hereditary night blindness
GTF2H5	photosensitive trichthiodystrophy
GTF2I	Williams-Beuren syndrome
GTF2I	supravalvular aortic stenosis
GTF2IRD1	Williams-Beuren syndrome
GTF2IRD1	supravalvular aortic stenosis
GUCY2D	Leber congenital amaurosis
GUSB	mucopolysaccharidosis VII
HABP2	thrombophilia
HADH	hyperinsulinemic hypoglycemia
HAMP	hemochromatosis
HBA1	alpha thalassemia
HBA1	thalassemia
HBA2	alpha thalassemia
HBA2	thalassemia
HBB	beta thalassemia
HBB	sickle cell anemia
HBB	thalassemia
HCCS	microphthalmia
HEXA	Tay-Sachs disease
HEXB	Sandhoff disease
HFE	Alzheimer's disease
HFE	hemochromatosis
HFE	porphyria cutanea tarda
HFE	variegate porphyria
HFE2	hemochromatosis
HGD	alkaptonuria
HGSNAT	mucopolysaccharidosis III
HIP1	prostate cancer
HLA-A	spondyloarthropathy
HLA-B	Behcet's disease
HLA-B	spondyloarthropathy
HLA-DQA1	celiac disease
HLA-DQB1	Creutzfeldt-Jakob syndrome
HLA-DQB1	celiac disease
HLA-DQB1	multiple sclerosis
HLA-DQB1	type 1 diabetes mellitus
HLA-DRB1	multiple sclerosis
HLA-DRB1	rheumatoid arthritis
HLCS	holocarboxylase synthetase deficiency
HMBS	acute intermittent porphyria
HMCN1	age related macular degeneration
HMGA1	type 2 diabetes mellitus
HMGA2	lipoma
HMGA2	uterine fibroid
HMMR	breast cancer
HNF1A	type 1 diabetes mellitus
HNF1A	type 2 diabetes mellitus
HNF1B	prostate cancer
HNF1B	type 2 diabetes mellitus
HNF4A	type 2 diabetes mellitus
HOGA1	primary hyperoxaluria
HOXD13	VACTERL association
HPGD	primary hypertrophic osteoarthropathy
HPRT1	Lesch-Nyhan syndrome
HPS1	Hermansky-Pudlak syndrome
HPS3	Hermansky-Pudlak syndrome
HPS4	Hermansky-Pudlak syndrome
HPS5	Hermansky-Pudlak syndrome
HPS6	Hermansky-Pudlak syndrome
HRAS	follicular thyroid carcinoma
HRAS	thyroid hurthle cell carcinoma
HRAS	urinary bladder cancer
HSPD1	hereditary spastic paraplegia
HTR2A	endogenous depression
HTR2A	schizophrenia
HTRA1	age related macular degeneration
HTRA2	Parkinson's disease
HTT	Huntington's disease
ICOS	common variable immunodeficiency
IDH1	malignant glioma
IDH3B	retinitis pigmentosa
IFIH1	Graves' disease
IFIH1	thyrotoxicosis
IFNG	aplastic anemia
IFNG	tuberous sclerosis
IGF2	Beckwith-Wiedemann syndrome
IGF2	Silver-Russell syndrome
IGF2BP2	type 2 diabetes mellitus
IGHG1	multiple myeloma
IGHM	agammaglobulinemia
IGLL1	agammaglobulinemia
IKBKAP	Riley-Day syndrome
IKBKG	Bloch-Sulzberger syndrome
IKBKG	hypohidrotic ectodermal dysplasia
IL10	Behcet's disease
IL10	rheumatoid arthritis
IL12RB2	Behcet's disease
IL1B	stomach cancer
IL1RN	stomach cancer
IL23R	Behcet's disease
IL23R	ulcerative colitis
IL4	cerebrovascular accident
IL6	Kaposi's sarcoma
IL6	type 2 diabetes mellitus
IL6	ulcerative colitis
IL7R	multiple sclerosis
IMMP2L	Gilles de la Tourette syndrome
IMPDH1	retinitis pigmentosa
IMPG2	retinitis pigmentosa
INF2	focal segmental glomerulosclerosis
INPPL1	type 2 diabetes mellitus
INSL3	cryptorchidism
INSR	hyperinsulinemic hypoglycemia
INSR	type 2 diabetes mellitus
INVS	nephronopthisis
IRF1	lung carcinoma
IRF1	stomach cancer
IRF4	multiple myeloma
IRF5	rheumatoid arthritis
IRS1	type 2 diabetes mellitus
IRS2	type 2 diabetes mellitus
ITGA2B	Glanzmann's thrombasthenia
ITGAX	systemic lupus erythematosus
ITGB2	leukocyte adhesion deficiency
ITGB3	Glanzmann's thrombasthenia
ITPKC	Kawasaki disease
ITPR1	spinocerebellar ataxia
ITPR3	type 1 diabetes mellitus
IVD	isovaleric acidemia
J01415.24	Kearns-Sayre syndrome
JAG1	Alagille syndrome
JAG1	tetralogy of Fallot
JAK2	acute myeloid leukemia
JAK2	hemorrhagic thrombocythemia
JAK2	myelofibrosis
JAK2	polycythemia vera
KCNA1	episodic ataxia
KCNC3	spinocerebellar ataxia
KCNE1	Jervell-Lange Nielsen syndrome
KCNE1	long QT syndrome
KCNE2	long QT syndrome
KCNE3	hyperkalemic periodic paralysis
KCNE3	hypokalemic periodic paralysis
KCNH2	long QT syndrome
KCNJ1	Bartter disease
KCNJ11	hyperinsulinemic hypoglycemia
KCNJ11	type 2 diabetes mellitus
KCNJ2	long QT syndrome
KCNJ5	long QT syndrome
KCNJ8	sudden infant death syndrome
KCNQ1	Jervell-Lange Nielsen syndrome
KCNQ1	long QT syndrome
KCNQ2	infantile epileptic encephalopathy
KCTD7	progressive myoclonic epilepsy
KIAA0196	hereditary spastic paraplegia
KIAA0415	hereditary spastic paraplegia
KIF1B	neuroblastoma
KIF5A	hereditary spastic paraplegia
KIF7	Bardet-Biedl syndrome
KIF7	Pallister-Hall syndrome
KIF7	acrocallosal syndrome
KIT	acute myeloid leukemia
KIT	gastrointestinal stromal tumor
KIT	mastocytosis
KIT	piebaldism
KIT	seminoma
KIT	testicular cancer
KIT	testicular germ cell cancer
KIT	urticaria pigmentosa
KLF1	congenital dyserythropoietic anemia
KLF6	prostate cancer
KLF6	stomach cancer
KLHDC8B	Hodgkin's lymphoma
KLHL7	retinitis pigmentosa
KLK4	amelogenesis imperfecta
KRAS	Noonan syndrome
KRAS	acute myeloid leukemia
KRAS	breast cancer
KRAS	lung carcinoma
KRAS	pancreatic carcinoma
KRAS	stomach cancer
KRAS	urinary bladder cancer
KRT1	epidermolytic hyperkeratosis
KRT10	epidermolytic hyperkeratosis
L1CAM	Hirschsprung's disease
LAT2	Williams-Beuren syndrome
LAT2	supravalvular aortic stenosis
LBR	Pelger-Huet anomaly
LCA5	Leber congenital amaurosis
LCAT	Norum disease
LCT	lactose intolerance
LDB3	dilated cardiomyopathy
LEMD3	melorheostosis
LEP	obesity
LEPRE1	osteogenesis imperfecta
LGI1	malignant glioma
LGR4	schizophrenia
LIG4	multiple myeloma
LIMK1	Williams-Beuren syndrome
LIMK1	supravalvular aortic stenosis
LIPC	type 2 diabetes mellitus
LMBR1	polydactyly
LMNA	Emery-Dreifuss muscular dystrophy
LMNA	Werner syndrome
LMNA	dilated cardiomyopathy
LMNA	limb-girdle muscular dystrophy
LMNA	progeria
LMX1B	nail-patella syndrome
LMX1B	open-angle glaucoma
LOXL1	exfoliation syndrome
LPL	familial combined hyperlipidemia
LPL	familial lipoprotein lipase deficiency
LPL	hyperlipoproteinemia type V
LPP	acute myeloid leukemia
LRAT	Leber congenital amaurosis
