gene	disease
ACAT1	ALPHA-METHYLACETOACETIC ACIDURIA 
ACE	ALZHEIMER DISEASE 
ACE	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1 
ACE	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3 
ACE	RENAL TUBULAR DYSGENESIS 
ACE	STROKE, ISCHEMIC 
ACHE	YT BLOOD GROUP ANTIGEN 
ACOX1	PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY 
ACP5	SPONDYLOENCHONDRODYSPLASIA
ACP5	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION 
ACSF3	COMBINED MALONIC AND METHYLMALONIC ACIDURIA 
ACSL4	AMME COMPLEX 
ACSL4	MENTAL RETARDATION, X-LINKED 63 
ACTA1	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 
ACTA1	NEMALINE MYOPATHY 3 
ACTA2	AORTIC ANEURYSM, FAMILIAL THORACIC 6 
ACTA2	MOYAMOYA DISEASE 5 
ACTA2	MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME 
ACTB	DYSTONIA, JUVENILE-ONSET 
ACTC1	ATRIAL SEPTAL DEFECT 5 
ACTC1	CARDIOMYOPATHY, DILATED, 1R 
ACTC1	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 
ACTC1	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11 
ACTG1	DEAFNESS, AUTOSOMAL DOMINANT 20 
ACTN2	CARDIOMYOPATHY, DILATED, 1AA 
ACTN4	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1 
ACVR1	FIBRODYSPLASIA OSSIFICANS PROGRESSIVA 
ACVR2B	HETEROTAXY, VISCERAL, 4, AUTOSOMAL 
ACVRL1	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2 
ACY1	AMINOACYLASE 1 DEFICIENCY 
ADA	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, 
ADAM17	INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL 
ADAM33	ASTHMA, SUSCEPTIBILITY TO 
ADAM9	CONE-ROD DYSTROPHY 9 
ADAMTS10	WEILL-MARCHESANI SYNDROME 1 
ADAMTS13	THROMBOTIC THROMBOCYTOPENIC PURPURA, CONGENITAL 
ADAMTS17	WEILL-MARCHESANI-LIKE SYNDROME 
ADAMTS18	KNOBLOCH SYNDROME 2 
ADAMTS2	EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL RECESSIVE 
ADAMTSL2	GELEOPHYSIC DYSPLASIA 1 
ADAMTSL4	ECTOPIA LENTIS, ISOLATED, AUTOSOMAL RECESSIVE 
ADAR	DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 
ADCK3	COENZYME Q10 DEFICIENCY 
ADCK3	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 9 
ADCY10	HYPERCALCIURIA, ABSORPTIVE, 2 
ADD1	HYPERTENSION, ESSENTIAL 
ADH1B	ALCOHOL DEPENDENCE 
ADH1C	ALCOHOL DEPENDENCE 
ADH1C	PARKINSON DISEASE, LATE-ONSET 
ADIPOQ	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1 
ADIPOQ	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
ADK	HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY 
ADRB1	RESTING HEART RATE, VARIATION IN 
ADRB2	ASTHMA, SUSCEPTIBILITY TO 
ADRB2	OBESITY 
ADRB3	OBESITY 
ADSL	ADENYLOSUCCINASE DEFICIENCY 
AFF2	MENTAL RETARDATION, X-LINKED, ASSOCIATED WITH FRAGILE SITE FRAXE 
AFG3L2	SPINOCEREBELLAR ATAXIA 28 
AGA	ASPARTYLGLUCOSAMINURIA 
AGGF1	KLIPPEL-TRENAUNAY-WEBERSYNDROME
AGL	GLYCOGEN STORAGE DISEASE III 
AGPAT2	LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1 
AGPS	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 3 
AGRN	MYASTHENIA, LIMB-GIRDLE, FAMILIAL 
AGRP	OBESITY 
AGT	HYPERTENSION, ESSENTIAL 
AGT	RENAL TUBULAR DYSGENESIS 
AGTR1	HYPERTENSION, ESSENTIAL 
AGTR1	RENAL TUBULAR DYSGENESIS 
AGTR2	MENTAL RETARDATION, X-LINKED 88 
AGXT	HYPEROXALURIA, PRIMARY, TYPE I 
AHCY	HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY 
AHI1	JOUBERT SYNDROME 3 
AICDA	IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 2 
AIFM1	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6 
AIMP1	LEUKODYSTROPHY, HYPOMYELINATING, 3 
AIP	PITUITARY ADENOMA, ACTH-SECRETING 
AIP	PITUITARY ADENOMA, GROWTH HORMONE-SECRETING 
AIP	PITUITARY ADENOMA, PROLACTIN-SECRETING 
AIPL1	LEBER CONGENITAL AMAUROSIS 4 
AIRE	AUTOIMMUNE DISEASE 
AIRE	AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I 
AK1	ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO 
AK2	RETICULAR DYSGENESIS 
AKAP10	CARDIAC CONDUCTION DEFECT 
AKAP10	LONGEVITY1
AKAP9	LONG QT SYNDROME 11 
AKR1C2	46,XY SEX REVERSAL 8 
AKR1C4	46,XY SEX REVERSAL 8 
AKR1D1	BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2 
AKT1	BREAST CANCER 
AKT1	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1 
AKT1	COLORECTAL CANCER 
AKT1	OVARIAN CANCER 
AKT1	PROTEUS SYNDROME 
AKT1	SCHIZOPHRENIA 
AKT2	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
AKT2	HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY 
AL731683.2	CELIAC DISEASE 
ALAD	PORPHYRIA, ACUTE HEPATIC 
ALAS2	ANEMIA, SIDEROBLASTIC, X-LINKED 
ALAS2	PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED 
ALB	ZINC,ELEVATEDPLASMA
ALDH18A1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA 
ALDH2	ALCOHOL SENSITIVITY, ACUTE 
ALDH3A2	SJOGREN-LARSSON SYNDROME 
ALDH4A1	HYPERPROLINEMIA, TYPE II 
ALDH5A1	SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY 
ALDH6A1	METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE DEFICIENCY 
ALDH7A1	EPILEPSY, PYRIDOXINE-DEPENDENT 
ALDOA	GLYCOGEN STORAGE DISEASE XII 
ALDOB	FRUCTOSE INTOLERANCE, HEREDITARY 
ALG1	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ik 
ALG10	LONG QT SYNDROME 2 
ALG10	SHORT QT SYNDROME 1 
ALG10B	LONG QT SYNDROME 2 
ALG11	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip 
ALG12	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ig 
ALG2	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii 
ALG3	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id 
ALG6	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ic 
ALG8	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ih 
ALG9	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Il 
ALK	NEUROBLASTOMA, SUSCEPTIBILITY TO 
ALK	NEUROBLASTOMA, SUSCEPTIBILITY TO, 3 
ALMS1	ALSTROM SYNDROME 
ALOX12B	ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL, NONBULLOUS, 1 
ALOX5	ASTHMA, SUSCEPTIBILITY TO 
ALOX5AP	STROKE, ISCHEMIC 
ALOXE3	ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL, NONBULLOUS, 1 
ALPL	HYPOPHOSPHATASIA, ADULT 
ALPL	HYPOPHOSPHATASIA, CHILDHOOD 
ALPL	HYPOPHOSPHATASIA, INFANTILE 
ALS2	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE 
ALS2	PRIMARY LATERAL SCLEROSIS, JUVENILE 
ALS2	SPASTIC PARALYSIS, INFANTILE-ONSET ASCENDING 
ALX1	FRONTONASAL DYSPLASIA 3 
ALX3	FRONTONASAL DYSPLASIA 1 
ALX4	FRONTONASAL DYSPLASIA 2 
ALX4	PARIETAL FORAMINA 
ALX4	PARIETAL FORAMINA 2 
ALX4	POTOCKI-SHAFFER SYNDROME 
AMACR	ALPHA-METHYLACYL-CoA RACEMASE DEFICIENCY 
AMACR	BILE ACID SYNTHESIS DEFECT, CONGENITAL, 4 
AMELX	AMELOGENESIS IMPERFECTA, TYPE IE 
AMH	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II 
AMHR2	PERSISTENT MULLERIAN DUCT SYNDROME, TYPES I AND II 
AMMECR1	AMME COMPLEX 
AMN	MEGALOBLASTIC ANEMIA 1 
AMPD3	ERYTHROCYTE AMP DEAMINASE DEFICIENCY 
AMT	GLYCINE ENCEPHALOPATHY 
ANG	AMYOTROPHIC LATERAL SCLEROSIS 1 
ANG	AMYOTROPHIC LATERAL SCLEROSIS 9 
ANGPTL3	HYPOBETALIPOPROTEINEMIA, FAMILIAL, 2 
ANK1	SPHEROCYTOSIS, TYPE 1 
ANK2	CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED 
ANKH	CHONDROCALCINOSIS 2 
ANKH	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT 
ANKRD1	TOTALANOMALOUSPULMONARYVENOUSRETURN1
ANKRD11	KBG SYNDROME 
ANKRD26	THROMBOCYTOPENIA 2 
ANO10	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 10 
ANO5	GNATHODIAPHYSEAL DYSPLASIA 
ANO5	MIYOSHI MUSCULAR DYSTROPHY 3 
ANO5	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2L 
ANO6	SCOTT SYNDROME 
ANTXR1	HEMANGIOMA, CAPILLARY INFANTILE 
ANTXR2	FIBROMATOSIS, JUVENILE HYALINE 
ANTXR2	HYALINOSIS, INFANTILE SYSTEMIC 
AP1S2	MENTAL RETARDATION, X-LINKED, SYNDROMIC, FRIED TYPE 
AP3B1	HERMANSKY-PUDLAK SYNDROME 1 
AP3B1	HERMANSKY-PUDLAK SYNDROME 2 
AP4B1	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 5 
AP4E1	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 4 
AP4M1	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3 
AP4S1	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 6 
APBB2	ALZHEIMER DISEASE 
APC	COLORECTAL CANCER 
APC	DESMOID DISEASE, HEREDITARY 
APC	FAMILIAL ADENOMATOUS POLYPOSIS 1 
APC	GASTRIC CANCER 
APC	GASTRIC CANCER, HEREDITARY DIFFUSE 
APC	HEPATOCELLULAR CARCINOMA 
APC	MEDULLOBLASTOMA 
APC	MISMATCH REPAIR CANCER SYNDROME 
APCDD1	HYPOTRICHOSIS 1 
APOA1	AMYLOIDOSIS, FAMILIAL VISCERAL 
APOA1	HYPOALPHALIPOPROTEINEMIA, PRIMARY 
APOA1	MYELOMA, MULTIPLE 
APOA1	TANGIER DISEASE 
APOA2	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT 
APOA5	HYPERLIPOPROTEINEMIA, TYPE V 
APOA5	HYPERTRIGLYCERIDEMIA, FAMILIAL 
APOB	ABETALIPOPROTEINEMIA 
APOB	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B 
APOB	HYPOBETALIPOPROTEINEMIA, FAMILIAL, 2 
APOC2	APOLIPOPROTEIN C-II DEFICIENCY 
APOC3	HYPERALPHALIPOPROTEINEMIA 1 
APOC3	HYPERALPHALIPOPROTEINEMIA 2 
APOE	ALZHEIMER DISEASE 2 
APOE	LIPOPROTEIN GLOMERULOPATHY 
APOE	MACULAR DEGENERATION, AGE-RELATED, 1 
APOE	SEA-BLUE HISTIOCYTE DISEASE 
APOL1	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 4, SUSCEPTIBILITY TO 
APOL1	SCHIZOPHRENIA 
APOL2	SCHIZOPHRENIA 
APOL4	SCHIZOPHRENIA 
APP	ALZHEIMER DISEASE 
APP	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED 
APTX	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA 
APTX	COENZYME Q10 DEFICIENCY 
AQP1	BLOOD GROUP--COLTON 
AQP2	DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL 
AQP3	GIL BLOOD GROUP 
AQP7	GLYCEROL QUANTITATIVE TRAIT LOCUS 
AR	ANDROGEN INSENSITIVITY SYNDROME 
AR	ANDROGEN INSENSITIVITY, PARTIAL 
AR	HYPOSPADIAS 1, X-LINKED 
AR	PROSTATE CANCER 
AR	SPINAL AND BULBAR MUSCULAR ATROPHY, X-LINKED 1 
ARFGEF2	HETEROTOPIA, PERIVENTRICULAR, AUTOSOMAL RECESSIVE 
ARFGEF2	HETEROTOPIA, PERIVENTRICULAR, X-LINKED DOMINANT 
ARG1	ARGININEMIA 
ARHGAP26	JUVENILE MYELOMONOCYTIC LEUKEMIA 
ARHGAP31	ADAMS-OLIVER SYNDROME 1 
ARHGEF10	SLOWED NERVE CONDUCTION VELOCITY, AUTOSOMAL DOMINANT 
ARHGEF12	LEUKEMIA, ACUTE MYELOID 
ARHGEF6	MENTAL RETARDATION, X-LINKED 46 
ARHGEF9	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 8 
ARID5B	LEUKEMIA,ACUTELYMPHOBLASTIC
ARL11	LEUKEMIA, CHRONIC LYMPHOCYTIC 
ARL13B	JOUBERT SYNDROME 8 
ARL6	BARDET-BIEDL SYNDROME 
ARL6	RETINITIS PIGMENTOSA 55 
ARMS2	MACULAR DEGENERATION, AGE-RELATED, 8 
ARSA	METACHROMATIC LEUKODYSTROPHY 
ARSA	MULTIPLE SULFATASE DEFICIENCY 
ARSB	MUCOPOLYSACCHARIDOSIS TYPE VI 
ARSB	MULTIPLE SULFATASE DEFICIENCY 
ARSE	CHONDRODYSPLASIA PUNCTATA 1, X-LINKED RECESSIVE 
ARX	CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA 
ARX	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1 
ARX	LISSENCEPHALY, X-LINKED, 2 
ARX	MENTAL RETARDATION, X-LINKED, WITH OR WITHOUT SEIZURES, ARX-RELATED 
ARX	PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME 
ASAH1	FARBER LIPOGRANULOMATOSIS 
ASCC1	BARRETT ESOPHAGUS 
ASCL1	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL 
ASIP	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 9 
ASL	ARGININOSUCCINIC ACIDURIA 
ASPA	CANAVAN DISEASE 
ASPM	MICROCEPHALY 5, PRIMARY, AUTOSOMAL RECESSIVE 
ASPN	INTERVERTEBRAL DISC DISEASE 
ASPN	OSTEOARTHRITIS SUSCEPTIBILITY 3 
ASPSCR1	ALVEOLAR SOFT PART SARCOMA 
ASS1	CITRULLINEMIA, CLASSIC 
ASXL1	BOHRING-OPITZ SYNDROME 
ASXL1	MYELODYSPLASTIC SYNDROME 
ATCAY	CEREBELLAR ATAXIA, CAYMAN TYPE 
ATF1	HISTIOCYTOMA, ANGIOMATOID FIBROUS 
ATG16L1	INFLAMMATORY BOWEL DISEASE 10 
ATIC	AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY 
ATL1	NEUROPATHY, HEREDITARY SENSORY, TYPE ID 
ATL1	SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT 
ATM	ATAXIA-TELANGIECTASIA 
ATM	BREAST CANCER 
ATN1	DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY 
ATOH7	RETINAL NONATTACHMENT, NONSYNDROMIC CONGENITAL 
ATP10A	ANGELMAN SYNDROME 
ATP13A2	KUFOR-RAKEB SYNDROME 
ATP1A2	ALTERNATING HEMIPLEGIA OF CHILDHOOD 
ATP1A2	MIGRAINE, FAMILIAL HEMIPLEGIC, 2 
ATP1A3	DYSTONIA 12 
ATP1B1	HYPERTENSION, ESSENTIAL 
ATP2A1	BRODY MYOPATHY 
ATP2A2	ACROKERATOSIS VERRUCIFORMIS 
ATP2A2	DARIER-WHITE DISEASE 
ATP2B2	DEAFNESS, AUTOSOMAL RECESSIVE 12 
ATP2C1	BENIGN CHRONIC PEMPHIGUS 
ATP5E	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 3 
ATP6AP2	MENTAL RETARDATION, X-LINKED, SYNDROMIC, HEDERA TYPE 
ATP6V0A2	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA 
ATP6V0A2	WRINKLY SKIN SYNDROME 
ATP6V0A4	RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL RECESSIVE 
ATP6V1B1	RENAL TUBULAR ACIDOSIS, DISTAL, WITH PROGRESSIVE NERVE DEAFNESS 
ATP7A	MENKES DISEASE 
ATP7A	OCCIPITAL HORN SYNDROME 
ATP7A	SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED 3 
ATP7B	WILSON DISEASE 
ATP8B1	CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 1 
ATP8B1	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 
ATP8B1	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 1 
ATPAF2	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1 
ATR	SECKEL SYNDROME 1 
ATRX	ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROME 
ATRX	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED 
ATRX	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1 
ATXN1	SPINOCEREBELLAR ATAXIA 1 
ATXN10	SPINOCEREBELLAR ATAXIA 10 
ATXN2	SPINOCEREBELLAR ATAXIA 2 
ATXN3	MACHADO-JOSEPH DISEASE 
ATXN7	SPINOCEREBELLAR ATAXIA 7 
AUH	3-@METHYLGLUTACONIC ACIDURIA, TYPE I 
AURKA	COLORECTAL CANCER 
AURKC	SPERMATOGENIC FAILURE 5 
AVP	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL 
AVPR2	DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED 
AVPR2	NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS 
AXIN1	CAUDAL DUPLICATION ANOMALY 
AXIN1	HEPATOCELLULAR CARCINOMA 
AXIN2	COLORECTAL CANCER 
AXIN2	OLIGODONTIA-COLORECTAL CANCER SYNDROME 
B2M	HYPOPROTEINEMIA, HYPERCATABOLIC 
B3GALNT1	BLOOD GROUP, P SYSTEM 
B3GALTL	PETERS-PLUS SYNDROME 
B3GAT3	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, CRANIOFACIAL DYSMORPHISM, 
B4GALT1	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IId 
B4GALT7	EHLERS-DANLOS SYNDROME, PROGEROID FORM 
B9D1	MECKEL SYNDROME, TYPE 9 
B9D2	MECKEL SYNDROME, TYPE 10 
BAAT	HYPERCHOLANEMIA, FAMILIAL 
BAG3	CARDIOMYOPATHY, DILATED, 1HH 
BAG3	MYOPATHY, MYOFIBRILLAR 6, MFM6 
BANF1	NESTOR-GUILLERMO PROGERIA SYNDROME 
BANK1	SYSTEMIC LUPUS ERYTHEMATOSUS 
BAP1	MESOTHELIOMA, MALIGNANT 
BAP1	TUMOR PREDISPOSITION SYNDROME 
BARD1	BREAST CANCER 
BAZ1B	WILLIAMS-BEUREN SYNDROME 
BBS1	BARDET-BIEDL SYNDROME 
BBS10	BARDET-BIEDL SYNDROME 
BBS12	BARDET-BIEDL SYNDROME 
BBS2	BARDET-BIEDL SYNDROME 
BBS4	BARDET-BIEDL SYNDROME 
BBS5	BARDET-BIEDL SYNDROME 
BBS7	BARDET-BIEDL SYNDROME 
BBS9	BARDET-BIEDL SYNDROME 
BBS9	WILMS TUMOR 5 
BCAM	BLOOD GROUP--LUTHERAN SYSTEM 
BCAM	LUTHERAN NULL 
BCKDHA	MAPLE SYRUP URINE DISEASE 
BCKDHB	MAPLE SYRUP URINE DISEASE 
BCL10	COLORECTAL CANCER 
BCL10	FOLLICULARLYMPHOMA,SUSCEPTIBILITYTO,1
BCL10	MESOTHELIOMA, MALIGNANT 
BCL10	TESTICULAR GERM CELL TUMOR 
BCL11A	FETALHEMOGLOBINQUANTITATIVETRAITLOCUS5
BCL2	FOLLICULARLYMPHOMA,SUSCEPTIBILITYTO,1
BCL6	FOLLICULARLYMPHOMA,SUSCEPTIBILITYTO,1
BCL7B	WILLIAMS-BEUREN SYNDROME 
BCMO1	HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT 
BCOR	MICROPHTHALMIA, SYNDROMIC 2 
BCOR	MICROPHTHALMIA,SYNDROMIC1
BCR	LEUKEMIA, CHRONIC MYELOID 
BCR	LEUKEMIA,ACUTELYMPHOBLASTIC
BCS1L	BJORNSTAD SYNDROME 
BCS1L	GRACILE SYNDROME 
BCS1L	LEIGH SYNDROME 
BCS1L	MITOCHONDRIAL COMPLEX III DEFICIENCY 
BDNF	ANOREXIANERVOSA,SUSCEPTIBILITYTO,1
BDNF	BULIMIA NERVOSA, SUSCEPTIBILITY TO, 2 
BDNF	BULIMIANERVOSA,SUSCEPTIBILITYTO,1
BDNF	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL 
BDNF	OBSESSIVE-COMPULSIVE DISORDER 
BDNF	WILMS TUMOR, ANIRIDIA, GENITOURINARY ANOMALIES, MENTAL RETARDATION, 
BEAN1	SPINOCEREBELLAR ATAXIA 31 
BEST1	BESTROPHINOPATHY, AUTOSOMAL RECESSIVE 
