gene	global_score	binding	functional	ptmod	regulation	textmining	fams
MCM10	2.49590143434919	0.569117163103522	0.750038183262196	0	0.632195760480627	0.544550327502845	ACTIVATOR_DOMINANT
KCNB1	2.41918423445432	0.579584210278442	0.7886216737255	0	0.559564735858194	0.491413614592181	ACTIVATOR_DOMINANT
WRNIP1	2.41900469273153	0.569117163103522	0.750038183262196	0	0.603916759389912	0.495932586975903	ACTIVATOR_DOMINANT
OBSCN	2.39632782113028	0.625422462231547	0.750038183262196	0	0.476316848133695	0.544550327502845	ACTIVATOR_DOMINANT
CGN	2.37773933689099	0.625422462231547	0.750038183262196	0	0.457728363894397	0.544550327502845	ACTIVATOR_DOMINANT
TYROBP	2.37140987593001	0.625422462231547	0.758311395971902	0	0.443125690223715	0.544550327502845	ACTIVATOR_DOMINANT
SHROOM3	2.33700451802588	0.574350686690982	0.750038183262196	0	0.516683061096797	0.495932586975903	ACTIVATOR_DOMINANT
GTPBP4	2.33275598018601	0.569117163103522	0.750038183262196	0	0.603916759389912	0.409683874430377	ACTIVATOR_DOMINANT
C1orf116	2.26094088232069	0.504105035277527	0.750038183262196	0	0.457728363894397	0.549069299886567	ACTIVATOR_DOMINANT
IGHMBP2	2.20595143532484	0	1	0	0.661401107821991	0.544550327502845	Known_genes
OGFR	2.17564115757124	0	0.969689722246402	0	0.661401107821991	0.544550327502845	DISEASE_RECESSIVE
CTSB	2.15024467097634	0.759137561220547	0	0	0.632195760480627	0.758911349275161	ACTIVATOR_DOMINANT
USP21	2.04225198541296	0.739963685347657	0	0	0.646798434151309	0.655489865913996	ACTIVATOR_DOMINANT
UBA1	2.02947573179969	0.708065785679982	0	0	0.661401107821991	0.660008838297719	Known_genes
NUP153	1.94758398390726	0.683658386219632	0	0	0.603916759389912	0.660008838297719	ACTIVATOR_DOMINANT
SULF1	1.93387992295732	0	0.750038183262196	0	0.429449362803682	0.754392376891439	ACTIVATOR_DOMINANT
VAPB	1.923769716976	0.713299309267442	0	0	0.661401107821991	0.549069299886567	Known_genes
APOH	1.92001097299659	0.625422462231547	0.750038183262196	0	0	0.544550327502845	ACTIVATOR_DOMINANT
ASAH1	1.88115795914001	0.574350686690982	0	0	0.646798434151309	0.660008838297719	ACTIVATOR_DOMINANT
MASP2	1.87345816983975	0.574350686690982	0.750038183262196	0	0	0.549069299886567	ACTIVATOR_DOMINANT
B3GNT3	1.86327310991687	0	0.750038183262196	0	0.661401107821991	0.451833818832683	ACTIVATOR_DOMINANT
CUBN	1.85918670148484	0.569117163103522	0.750038183262196	0	0	0.540031355119123	ACTIVATOR_DOMINANT
LAIR1	1.85438597500866	0.574350686690982	0.7886216737255	0	0	0.491413614592181	ACTIVATOR_DOMINANT
LNPEP	1.82200474747316	0.630655985819007	0	0	0.646798434151309	0.544550327502845	ACTIVATOR_DOMINANT
SLC25A13	1.80669803866397	0.708065785679982	0	0	0.646798434151309	0.451833818832683	ACTIVATOR_DOMINANT
AP1G2	1.78997253529545	0.651760486551957	0	0	0.646798434151309	0.491413614592181	ACTIVATOR_DOMINANT
MUC4	1.78260178461692	0.579584210278442	0	0	0.559564735858194	0.643452838480288	DISEASE_RECESSIVE
CELSR1	1.77088074211411	0.560410334405552	0	0	0.661401107821991	0.549069299886567	ACTIVATOR_DOMINANT
C15orf42	1.76143673795307	0	0.750038183262196	0	0.559564735858194	0.451833818832683	ACTIVATOR_DOMINANT
EP400	1.75928687545362	0.625422462231547	0	0	0.58931408571923	0.544550327502845	ACTIVATOR_DOMINANT
LRP2	1.74315966442366	0.625422462231547	0	0	0.457728363894397	0.660008838297719	ACTIVATOR_DOMINANT
UBASH3A	1.72288221337781	0.759137561220547	0	0	0.472331037565079	0.491413614592181	ACTIVATOR_DOMINANT
DDX54	1.69094271558068	0.625422462231547	0	0	0.646798434151309	0.418721819197821	ACTIVATOR_DOMINANT
TELO2	1.68330515827462	0.555176810818092	0	0	0.632195760480627	0.495932586975903	ACTIVATOR_DOMINANT
RNH1	1.66722702565945	0.523278911150417	0	0	0.603916759389912	0.540031355119123	ACTIVATOR_DOMINANT
AKAP1	1.65959735938611	0.574350686690982	0	0	0.58931408571923	0.495932586975903	ACTIVATOR_DOMINANT
POLB	1.65862955279388	0.569117163103522	0	0	0.544962062187512	0.544550327502845	ACTIVATOR_DOMINANT
PTPRH	1.65190980078503	0.518045387562957	0	0	0.58931408571923	0.544550327502845	ACTIVATOR_DOMINANT
DMTF1	1.62821695252842	0.498871511690067	0	0	0.58931408571923	0.540031355119123	ACTIVATOR_DOMINANT
SLC5A1	1.62770115362879	0.625422462231547	0	0	0.457728363894397	0.544550327502845	ACTIVATOR_DOMINANT
SHANK1	1.62461448593762	0.569117163103522	0	0	0.559564735858194	0.495932586975903	ACTIVATOR_DOMINANT
PIWIL2	1.59618712499045	0.474464112229718	0	0	0.461714174463013	0.660008838297719	ACTIVATOR_DOMINANT
RAI14	1.59370906783800	0.569117163103522	0	0	0.58931408571923	0.435277819015252	ACTIVATOR_DOMINANT
HGFAC	1.59123205175891	0.574350686690982	0	0	0.472331037565079	0.544550327502845	ACTIVATOR_DOMINANT
MSR1	1.56268902580279	0.560410334405552	0	0	0.457728363894397	0.544550327502845	ACTIVATOR_DOMINANT
DOK7	1.54978268169006	0.518045387562957	0	0	0.531285734767479	0.500451559359625	ACTIVATOR_DOMINANT
IFNA16	1.54152437978953	0.611482109946117	0	0.930042269843414	0	0	ACTIVATOR_DOMINANT
PCDH15	1.52944394225383	0.518045387562957	0	0	0.559564735858194	0.451833818832683	ACTIVATOR_DOMINANT
STAM	1.51804891049571	0.759137561220547	0	0	0	0.758911349275161	ACTIVATOR_DOMINANT
PUS7	1.39683661741350	0	0.750038183262196	0	0.646798434151309	0	ACTIVATOR_DOMINANT
NBEAL2	1.34818640958369	0	0.7886216737255	0	0.559564735858194	0	ACTIVATOR_DOMINANT
FGFRL1	1.32140994611971	0	0	0	0.661401107821991	0.660008838297719	DISEASE_RECESSIVE
CMYA5	1.30521499408029	0.555176810818092	0.750038183262196	0	0	0	ACTIVATOR_DOMINANT
SSFA2	1.20720876855686	0.560410334405552	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
IL25	1.20700338490710	0	0	0	0.56355054642681	0.643452838480288	ACTIVATOR_DOMINANT
KDM4D	1.19586773403788	0	0	0	0.646798434151309	0.549069299886567	ACTIVATOR_DOMINANT
BMP2K	1.18350096966835	0.579584210278442	0	0	0.603916759389912	0	ACTIVATOR_DOMINANT
ERAP1	1.17282070227322	0.512811863975498	0	0	0	0.660008838297719	ACTIVATOR_DOMINANT
FMN1	1.16997278973439	0.625422462231547	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
ZNF169	1.15298605927648	0	0	0	0.603916759389912	0.549069299886567	ACTIVATOR_DOMINANT
MTCH2	1.15298605927648	0	0	0	0.603916759389912	0.549069299886567	ACTIVATOR_DOMINANT
SFI1	1.15079891386150	0.606248586358657	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
HOXD11	1.13180671404769	0	0	0	0.476316848133695	0.655489865913996	ACTIVATOR_DOMINANT
BCL7A	1.11438204181011	0.574350686690982	0	0	0	0.540031355119123	ACTIVATOR_DOMINANT
MGAT4C	1.11438204181011	0.574350686690982	0	0	0	0.540031355119123	ACTIVATOR_DOMINANT
NSMAF	1.11366749060637	0.569117163103522	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
OPN4	1.11366749060637	0.569117163103522	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
SALL2	1.11366749060637	0.569117163103522	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
TM9SF1	1.10436831874954	0	0	0	0.603916759389912	0.500451559359625	ACTIVATOR_DOMINANT
RNF213	1.10411506336104	0	0	0	0.559564735858194	0.544550327502845	ACTIVATOR_DOMINANT
ZNF192	1.09863225298399	0	0	0	0.646798434151309	0.451833818832683	ACTIVATOR_DOMINANT
ZFYVE28	1.09667892683724	0	0	0	0.661401107821991	0.435277819015252	DISEASE_RECESSIVE
ISPD	1.07028327366689	0.574350686690982	0	0	0	0.495932586975903	ACTIVATOR_DOMINANT
ARHGEF19	1.06711468744952	0.518045387562957	0	0	0	0.549069299886567	ACTIVATOR_DOMINANT
HDGF	1.06552025334913	0	0	0	0.646798434151309	0.418721819197821	ACTIVATOR_DOMINANT
CAND2	1.06259571506580	0.518045387562957	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
ITLN2	1.05549732283410	0	0	0	0.559564735858194	0.495932586975903	ACTIVATOR_DOMINANT
PGLYRP3	1.05549732283410	0	0	0	0.559564735858194	0.495932586975903	ACTIVATOR_DOMINANT
AIM1	1.05549732283410	0	0	0	0.559564735858194	0.495932586975903	ACTIVATOR_DOMINANT
MOCS2	1.04383357387758	0.498871511690067	0	0	0.544962062187512	0	ACTIVATOR_DOMINANT
DMBT1	1.02480090200538	0.549943287230632	0	0	0	0.47485761477475	DISEASE_RECESSIVE,ACTIVATOR_DOMINANT
RNF180	0.999323071049693	0.498871511690067	0	0	0	0.500451559359625	ACTIVATOR_DOMINANT
ZNF444	0.996795881020195	0	0	0	0.544962062187512	0.451833818832683	ACTIVATOR_DOMINANT
PCK1	0.98767601772656	0	0	0	0.443125690223715	0.544550327502845	ACTIVATOR_DOMINANT
PCNXL2	0.983119553600161	0	0	0	0.531285734767479	0.451833818832683	ACTIVATOR_DOMINANT
PRUNE2	0.971202549255147	0.498871511690067	0	0	0.472331037565079	0	ACTIVATOR_DOMINANT
EML2	0.966404601374133	0.523278911150417	0	0	0.443125690223715	0	ACTIVATOR_DOMINANT
FAT1	0.951419881726488	0.504105035277527	0	0	0	0.447314846448961	ACTIVATOR_DOMINANT
CDH20	0.929900922163307	0	0	0	0.429449362803682	0.500451559359625	ACTIVATOR_DOMINANT
ANGPTL6	0.924164856397762	0	0	0	0.472331037565079	0.451833818832683	ACTIVATOR_DOMINANT
PDE4DIP	0.920208978419889	0.484931159404637	0	0	0	0.435277819015252	ACTIVATOR_DOMINANT
YIPF1	0.884903683050013	0.224894844752294	0	0	0	0.660008838297719	ACTIVATOR_DOMINANT
KBTBD8	0.876450183092218	0	0	0	0.457728363894397	0.418721819197821	ACTIVATOR_DOMINANT
XIRP2	0.74452027998481	0.244068720625184	0	0	0	0.500451559359625	ACTIVATOR_DOMINANT
CRISP1	0.66452781068144	0	0	0	0	0.66452781068144	ACTIVATOR_DOMINANT
ACOX3	0.661401107821991	0	0	0	0.661401107821991	0	ACTIVATOR_DOMINANT
ZNF134	0.661401107821991	0	0	0	0.661401107821991	0	ACTIVATOR_DOMINANT
MICAL3	0.646798434151309	0	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
KIAA1324L	0.646798434151309	0	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
ZNF225	0.646798434151309	0	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
TM7SF3	0.646798434151309	0	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
ZCCHC9	0.646798434151309	0	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
CAPN7	0.646798434151309	0	0	0	0.646798434151309	0	ACTIVATOR_DOMINANT
C11orf35	0.632195760480627	0	0	0	0.632195760480627	0	ACTIVATOR_DOMINANT
TMPRSS15	0.611391097770776	0	0	0	0	0.611391097770776	ACTIVATOR_DOMINANT
C12orf43	0.603916759389912	0	0	0	0.603916759389912	0	ACTIVATOR_DOMINANT
TTLL12	0.58931408571923	0	0	0	0.58931408571923	0	ACTIVATOR_DOMINANT
MC1R	0.58931408571923	0	0	0	0.58931408571923	0	ACTIVATOR_DOMINANT
PCDHA7	0.559564735858194	0	0	0	0.559564735858194	0	ACTIVATOR_DOMINANT
ARMC5	0.559564735858194	0	0	0	0.559564735858194	0	ACTIVATOR_DOMINANT
ELMOD3	0.544962062187512	0	0	0	0.544962062187512	0	ACTIVATOR_DOMINANT
PRRG4	0.544550327502845	0	0	0	0	0.544550327502845	ACTIVATOR_DOMINANT
TMEM171	0.544550327502845	0	0	0	0	0.544550327502845	DISEASE_RECESSIVE
OR8H1	0.523278911150417	0.523278911150417	0	0	0	0	ACTIVATOR_DOMINANT
OR10G9	0.523278911150417	0.523278911150417	0	0	0	0	ACTIVATOR_DOMINANT
OR10T2	0.523278911150417	0.523278911150417	0	0	0	0	ACTIVATOR_DOMINANT
MTMR7	0.504105035277527	0.504105035277527	0	0	0	0	ACTIVATOR_DOMINANT
BEST2	0.500451559359625	0	0	0	0	0.500451559359625	ACTIVATOR_DOMINANT
ABCB5	0.500451559359625	0	0	0	0	0.500451559359625	ACTIVATOR_DOMINANT
BST1	0.495932586975903	0	0	0	0	0.495932586975903	ACTIVATOR_DOMINANT
PKD1L2	0.491413614592181	0	0	0	0	0.491413614592181	ACTIVATOR_DOMINANT
PDIA2	0.451833818832683	0	0	0	0	0.451833818832683	ACTIVATOR_DOMINANT
RPRD2	0.443125690223715	0	0	0	0.443125690223715	0	ACTIVATOR_DOMINANT
CDH19	0.409683874430377	0	0	0	0	0.409683874430377	ACTIVATOR_DOMINANT
SLCO5A1	0.320017676595437	0	0	0	0	0.320017676595437	ACTIVATOR_DOMINANT
GPR179	0	0	0	0	0	0	ACTIVATOR_DOMINANT
DNHD1	0	0	0	0	0	0	ACTIVATOR_DOMINANT
ARRDC4	0	0	0	0	0	0	ACTIVATOR_DOMINANT
MIR518D	0	0	0	0	0	0	ACTIVATOR_DOMINANT
MIR548F5	0	0	0	0	0	0	ACTIVATOR_DOMINANT
MIR1258	0	0	0	0	0	0	ACTIVATOR_DOMINANT
SEL1L2	0	0	0	0	0	0	ACTIVATOR_DOMINANT
KRTAP12-2	0	0	0	0	0	0	ACTIVATOR_DOMINANT
GLIS1	0	0	0	0	0	0	ACTIVATOR_DOMINANT
DDX60L	0	0	0	0	0	0	ACTIVATOR_DOMINANT
PCDHA6	0	0	0	0	0	0	ACTIVATOR_DOMINANT
CCDC146	0	0	0	0	0	0	ACTIVATOR_DOMINANT
C3orf31	0	0	0	0	0	0	ACTIVATOR_DOMINANT
RAGE	0	0	0	0	0	0	ACTIVATOR_DOMINANT
LOC100527964	0	0	0	0	0	0	ACTIVATOR_DOMINANT
PCDHB16	0	0	0	0	0	0	ACTIVATOR_DOMINANT
RNU5D,RNU5E	0	0	0	0	0	0	ACTIVATOR_DOMINANT
HEPN1	0	0	0	0	0	0	ACTIVATOR_DOMINANT
DNAH11	0	0	0	0	0	0	ACTIVATOR_DOMINANT
TARM1	0	0	0	0	0	0	ACTIVATOR_DOMINANT
C8orf79	0	0	0	0	0	0	ACTIVATOR_DOMINANT
DTHD1	0	0	0	0	0	0	ACTIVATOR_DOMINANT
PANX3	0	0	0	0	0	0	ACTIVATOR_DOMINANT
KIAA1409	0	0	0	0	0	0	ACTIVATOR_DOMINANT
PRAMEF7,PRAMEF8	0	0	0	0	0	0	DISEASE_RECESSIVE
GCNT4	0	0	0	0	0	0	DISEASE_RECESSIVE
