PSMB1	CD4	FYN	TYROBP	ANK1	LCP2	NGFR	SPTB	TAB2	IKBKG	DLG1	HSP90AA1	NRCAM	PSMD7	CSK	ITCH	RIPK2	TYK2	NFKB1	PTPN6	FGF1	FN1	STAT1	IFNA6	ZAP70	PLCG1	TLR4	SHC1	SYK	RPS27A	PTPN11	LCK	PTPN1	CD3E	PSME3	SLC4A1	SLC12A2	C1QBP	PLXNA1	SRC	HLA-DMB	NCK2	MAP3K14	FBL	RELA	ATN1	ACTG1	PASK	MAP3K3	PSMB9	NRP2	KIR2DL3	WDR5	CD44	GNB2L1	VHL	LIMA1	DDR2	EPS8L1
DLG1	0.0236220	0.0078740	0.0629921	0.0157480	0.0314961	0.0157480	0.0157480	0.0078740	0.0472441	0.0866142	1.0000000	0.0787402	0.1338583	0.0078740	0.0314961	0.0236220	0.0393701	0.0314961	0.0314961	0.0472441	0.0157480	0.0787402	0.0551181	0.0236220	0.0236220	0.0078740	0.0236220	0.0551181	0.0393701	0.0708661	0.0314961	0.4566929	0.0078740	0.0236220	0.0629921	0.0157480	0.0157480	0.0314961	0.0157480	0.0551181	0.0157480	0.0236220	0.0787402	0.0866142	0.0944882	0.0157480	0.1102362	0.0157480	0.4015748	0.0157480	0.0157480	0.0157480	0.0157480	0.0314961	0.0314961	0.0472441	0.0078740	0.0078740	0.0078740
HSP90AA1	0.0222222	0.0166667	0.0500000	0.0222222	0.1111111	0.0222222	0.0222222	0.0500000	0.0722222	0.1333333	0.0166667	1.0000000	0.1111111	0.0055556	0.0166667	0.0333333	0.0555556	0.0277778	0.0666667	0.0222222	0.0666667	0.0666667	0.0166667	0.0166667	0.0833333	0.1000000	0.0333333	0.1333333	0.0333333	0.1500000	0.0222222	0.0222222	0.0222222	0.0333333	0.0333333	0.0722222	0.0333333	0.0166667	0.0222222	0.0777778	0.0222222	0.0277778	0.0500000	0.0111111	0.0833333	0.0222222	0.2000000	0.0277778	0.1000000	0.0166667	0.0666667	0.0166667	0.0111111	0.0611111	0.0111111	0.0444444	0.0111111	0.0055556	0.0111111
NRCAM	0.0131579	0.0263158	0.0789474	0.0065789	0.0855263	0.0197368	0.0328947	0.1578947	0.0328947	0.0526316	0.1513158	0.1315789	1.0000000	0.0197368	0.0328947	0.0526316	0.0394737	0.0131579	0.0197368	0.0131579	0.2960526	0.0526316	0.0394737	0.0065789	0.0197368	0.0723684	0.0328947	0.0592105	0.0328947	0.0526316	0.0789474	0.0789474	0.0131579	0.0394737	0.0657895	0.0328947	0.0657895	0.0328947	0.0131579	0.0723684	0.0394737	0.0131579	0.0394737	0.0263158	0.0460526	0.0526316	0.2828947	0.0197368	0.1315789	0.0328947	0.0197368	0.0131579	0.0197368	0.0526316	0.0197368	0.0263158	0.0197368	0.0131579	0.0197368
PSMD7	0.0952381	0.0238095	0.0317460	0.0396825	0.0079365	0.0158730	0.0317460	0.0238095	0.0476190	0.0634921	0.0158730	0.0396825	0.0238095	1.0000000	0.0238095	0.0158730	0.0555556	0.0476190	0.0396825	0.1587302	0.0238095	0.0238095	0.0317460	0.0317460	0.0158730	0.0079365	0.0238095	0.0158730	0.0158730	0.0952381	0.2777778	0.0476190	0.0476190	0.0476190	0.3253968	0.0158730	0.0079365	0.0238095	0.0158730	0.0476190	0.0793651	0.0079365	0.0396825	0.0238095	0.0634921	0.0476190	0.0634921	0.0555556	0.2698413	0.0873016	0.0079365	0.4841270	0.0317460	0.0555556	0.0476190	0.0317460	0.0079365	0.0158730	0.0238095
CSK	0.0224719	0.0955056	0.1741573	0.0056180	0.0337079	0.0337079	0.0561798	0.0449438	0.0393258	0.0674157	0.0168539	0.0561798	0.0280899	0.0168539	1.0000000	0.0224719	0.0449438	0.0168539	0.0561798	0.0617978	0.0224719	0.0561798	0.0898876	0.0112360	0.0280899	0.0280899	0.0449438	0.1123596	0.0168539	0.1348315	0.1067416	0.0786517	0.0337079	0.0449438	0.0056180	0.0224719	0.0112360	0.0561798	0.0112360	0.1966292	0.0505618	0.0337079	0.0449438	0.0842697	0.1235955	0.0337079	0.0168539	0.0168539	0.0449438	0.0280899	0.0056180	0.0224719	0.0280899	0.0674157	0.0112360	0.0168539	0.0056180	0.0112360	0.0056180
ITCH	0.0065789	0.0592105	0.3750000	0.0131579	0.0394737	0.0394737	0.0394737	0.0197368	0.0394737	0.1973684	0.0197368	0.0986842	0.0263158	0.0065789	0.0394737	1.0000000	0.0921053	0.0263158	0.0263158	0.0460526	0.0263158	0.0197368	0.0131579	0.0263158	0.0328947	0.0460526	0.0131579	0.0657895	0.0460526	0.2500000	0.0789474	0.0592105	0.0263158	0.1052632	0.0263158	0.0065789	0.0197368	0.0592105	0.0197368	0.0789474	0.0328947	0.0526316	0.0197368	0.0197368	0.0263158	0.0789474	0.0394737	0.0065789	0.0394737	0.0065789	0.0065789	0.0131579	0.0197368	0.0131579	0.0131579	0.0065789	0.0065789	0.0131579	0.0526316
RIPK2	0.0331492	0.0441989	0.1215470	0.0055249	0.0165746	0.0276243	0.1270718	0.0055249	0.0331492	0.1712707	0.0276243	0.1933702	0.0165746	0.0386740	0.0441989	0.1049724	1.0000000	0.0276243	0.0441989	0.0718232	0.0110497	0.0331492	0.0773481	0.0110497	0.0441989	0.0441989	0.0331492	0.0441989	0.0386740	0.2596685	0.0662983	0.0441989	0.0055249	0.0552486	0.1104972	0.0055249	0.0165746	0.0055249	0.0110497	0.0607735	0.0552486	0.0165746	0.0331492	0.0441989	0.0828729	0.0386740	0.1049724	0.0110497	0.1325967	0.0552486	0.0055249	0.0220994	0.0055249	0.0441989	0.0165746	0.0165746	0.0055249	0.0165746	0.0276243
TYK2	0.0370370	0.0493827	0.2469136	0.0308642	0.0246914	0.0185185	0.0123457	0.0246914	0.0246914	0.0679012	0.0246914	0.0617284	0.0123457	0.0370370	0.0185185	0.0246914	0.0308642	1.0000000	0.0185185	0.2345679	0.0185185	0.0370370	0.1049383	0.0061728	0.0740741	0.0864198	0.0246914	0.0308642	0.0370370	0.0987654	0.2407407	0.0987654	0.0679012	0.0493827	0.0555556	0.0246914	0.0308642	0.0432099	0.0185185	0.0925926	0.0740741	0.0185185	0.0061728	0.0123457	0.0370370	0.0246914	0.0185185	0.0123457	0.0370370	0.0370370	0.0061728	0.0617284	0.0123457	0.0185185	0.0925926	0.0246914	0.0061728	0.0370370	0.0123457
NFKB1	0.0171429	0.0571429	0.1028571	0.1085714	0.0685714	0.0285714	0.1200000	0.0057143	0.0571429	0.1657143	0.0228571	0.1142857	0.0171429	0.0285714	0.0571429	0.0228571	0.0228571	0.0114286	1.0000000	0.0685714	0.0114286	0.0571429	0.2628571	0.0114286	0.0800000	0.0400000	0.0171429	0.0400000	0.0800000	0.2628571	0.1028571	0.0742857	0.0285714	0.0571429	0.0457143	0.0171429	0.0228571	0.0057143	0.0228571	0.1028571	0.0571429	0.0114286	0.0057143	0.0171429	0.0571429	0.0114286	0.0228571	0.0114286	0.0685714	0.0400000	0.0057143	0.0514286	0.0057143	0.0171429	0.0114286	0.0285714	0.0057143	0.0171429	0.0285714
PTPN6	0.0236686	0.1005917	0.1183432	0.0355030	0.0118343	0.0591716	0.1538462	0.0532544	0.0355030	0.1420118	0.0295858	0.0532544	0.0236686	0.0236686	0.0769231	0.0414201	0.0355030	0.0828402	0.0295858	1.0000000	0.0177515	0.0236686	0.0177515	0.0355030	0.0355030	0.0355030	0.0177515	0.1124260	0.0946746	0.0946746	0.0473373	0.1301775	0.0355030	0.0473373	0.0118343	0.0236686	0.0118343	0.0295858	0.0710059	0.1183432	0.0473373	0.0355030	0.0118343	0.0118343	0.0355030	0.0236686	0.0118343	0.0236686	0.0591716	0.0236686	0.0473373	0.0532544	0.0236686	0.0177515	0.0177515	0.0118343	0.1005917	0.0059172	0.0059172
FGF1	0.0390625	0.0468750	0.0937500	0.0390625	0.0468750	0.0156250	0.0156250	0.0078125	0.0156250	0.0312500	0.0078125	0.0937500	0.0781250	0.0156250	0.0156250	0.0234375	0.0078125	0.0234375	0.0078125	0.0078125	1.0000000	0.0312500	0.0156250	0.0156250	0.0312500	0.1562500	0.0156250	0.1328125	0.0312500	0.2500000	0.2343750	0.0234375	0.0468750	0.0468750	0.0156250	0.0312500	0.0468750	0.0625000	0.0312500	0.0937500	0.0468750	0.0468750	0.0390625	0.0156250	0.0234375	0.0156250	0.0156250	0.0312500	0.0390625	0.0312500	0.0156250	0.0312500	0.0234375	0.1406250	0.0703125	0.0156250	0.0156250	0.0078125	0.0156250
FN1	0.0492958	0.0140845	0.2253521	0.0211268	0.0281690	0.0140845	0.0422535	0.0422535	0.0281690	0.0915493	0.0352113	0.0845070	0.0281690	0.0070423	0.1549296	0.0211268	0.0211268	0.0140845	0.0352113	0.0422535	0.0140845	1.0000000	0.0563380	0.0070423	0.1056338	0.0281690	0.0140845	0.1056338	0.1549296	0.0704225	0.0422535	0.1056338	0.0352113	0.0422535	0.0070423	0.0140845	0.0492958	0.0352113	0.0140845	0.2816901	0.0211268	0.0140845	0.0281690	0.0492958	0.0563380	0.0140845	0.0281690	0.0211268	0.0211268	0.0140845	0.0070423	0.0422535	0.0070423	0.0845070	0.0140845	0.0563380	0.0070423	0.0070423	0.0140845
STAT1	0.0348837	0.0116279	0.1627907	0.0348837	0.0232558	0.0116279	0.0232558	0.0232558	0.0174419	0.1627907	0.0232558	0.0348837	0.0348837	0.0174419	0.0232558	0.0290698	0.0813953	0.0290698	0.1279070	0.0174419	0.0116279	0.0348837	1.0000000	0.0290698	0.0116279	0.0058140	0.0697674	0.0058140	0.0348837	0.1162791	0.1220930	0.1279070	0.0523256	0.0232558	0.0988372	0.0465116	0.0058140	0.0232558	0.0174419	0.1627907	0.0465116	0.0232558	0.0465116	0.0290698	0.1860465	0.0348837	0.0348837	0.0174419	0.1395349	0.0348837	0.0058140	0.0290698	0.0406977	0.0348837	0.0465116	0.0232558	0.0232558	0.0058140	0.0116279
IFNA6	0.0260417	0.0520833	0.1406250	0.0156250	0.0104167	0.0260417	0.0104167	0.0312500	0.0104167	0.1250000	0.0156250	0.0468750	0.0104167	0.0312500	0.0104167	0.0416667	0.0104167	0.0729167	0.0312500	0.2343750	0.0260417	0.0208333	0.2395833	1.0000000	0.0572917	0.0625000	0.0052083	0.0312500	0.0156250	0.0781250	0.3489583	0.0781250	0.0989583	0.0625000	0.0260417	0.0260417	0.0156250	0.0520833	0.0312500	0.1406250	0.0625000	0.0625000	0.0937500	0.0156250	0.0625000	0.0572917	0.0104167	0.0104167	0.0156250	0.0312500	0.0208333	0.0520833	0.0156250	0.0572917	0.0416667	0.0104167	0.0468750	0.0208333	0.0104167
ZAP70	0.0116959	0.0877193	0.0409357	0.0467836	0.0116959	0.0818713	0.0116959	0.0233918	0.0233918	0.0409357	0.0116959	0.1929825	0.0175439	0.0116959	0.0877193	0.0292398	0.0175439	0.0701754	0.0409357	0.1052632	0.0233918	0.1754386	0.0292398	0.0643275	1.0000000	0.0350877	0.0292398	0.1286550	0.0877193	0.0467836	0.0701754	0.2339181	0.0350877	0.0994152	0.0116959	0.0233918	0.0175439	0.0058480	0.0116959	0.1228070	0.0877193	0.0350877	0.0175439	0.0116959	0.0233918	0.0233918	0.0350877	0.0116959	0.0233918	0.0292398	0.0058480	0.0116959	0.0175439	0.0350877	0.0350877	0.0935673	0.0116959	0.0058480	0.0058480
PLCG1	0.0051546	0.0876289	0.0618557	0.0309278	0.0309278	0.0773196	0.0773196	0.0309278	0.0206186	0.0360825	0.0051546	0.2010309	0.0309278	0.0051546	0.0257732	0.0360825	0.0206186	0.0721649	0.0360825	0.1546392	0.1185567	0.0206186	0.0257732	0.0618557	0.0360825	1.0000000	0.0360825	0.0618557	0.1494845	0.0773196	0.1030928	0.1701031	0.0412371	0.0773196	0.0103093	0.0360825	0.0154639	0.0051546	0.0206186	0.0927835	0.0773196	0.0309278	0.0154639	0.0103093	0.0257732	0.0206186	0.0360825	0.0103093	0.0206186	0.0206186	0.0051546	0.0670103	0.0154639	0.0412371	0.0360825	0.0051546	0.0103093	0.0360825	0.0051546
TLR4	0.0163934	0.0601093	0.1202186	0.0765027	0.0327869	0.0218579	0.0163934	0.0382514	0.0874317	0.2459016	0.0163934	0.1147541	0.0546448	0.0163934	0.0437158	0.0327869	0.0163934	0.0218579	0.0327869	0.0163934	0.0546448	0.0382514	0.0655738	0.0054645	0.0546448	0.0382514	1.0000000	0.0437158	0.0655738	0.3606557	0.0655738	0.0819672	0.0163934	0.0327869	0.0437158	0.0109290	0.0327869	0.0054645	0.0327869	0.1092896	0.0327869	0.0109290	0.0163934	0.0327869	0.0437158	0.0218579	0.0437158	0.0327869	0.0655738	0.0273224	0.0382514	0.0163934	0.0163934	0.3005464	0.0163934	0.0109290	0.0054645	0.0109290	0.0163934
SHC1	0.0508475	0.0169492	0.1016949	0.0225989	0.0282486	0.0508475	0.0790960	0.0169492	0.0169492	0.0677966	0.0395480	0.2033898	0.0282486	0.0112994	0.1186441	0.1129944	0.0451977	0.0056497	0.0112994	0.1073446	0.0847458	0.0508475	0.0056497	0.0056497	0.0960452	0.0225989	0.0451977	1.0000000	0.1073446	0.0677966	0.0169492	0.0564972	0.0169492	0.0903955	0.0169492	0.0112994	0.0225989	0.0056497	0.0282486	0.1920904	0.0508475	0.1129944	0.0169492	0.0169492	0.0338983	0.1186441	0.0621469	0.0169492	0.0395480	0.0338983	0.0056497	0.0169492	0.0112994	0.0338983	0.0056497	0.0338983	0.0169492	0.0056497	0.0225989
SYK	0.0160428	0.0267380	0.1871658	0.0374332	0.0320856	0.0267380	0.0534759	0.0427807	0.0267380	0.0695187	0.0213904	0.1176471	0.0267380	0.0213904	0.0320856	0.0267380	0.0374332	0.0106952	0.0374332	0.0855615	0.0213904	0.0588235	0.0641711	0.0053476	0.0267380	0.1069519	0.0320856	0.1122995	1.0000000	0.0481283	0.0267380	0.1016043	0.0320856	0.0695187	0.0909091	0.0213904	0.0213904	0.0320856	0.0213904	0.2032086	0.0802139	0.0427807	0.0427807	0.0695187	0.0962567	0.0481283	0.0160428	0.0160428	0.0641711	0.0534759	0.0106952	0.0320856	0.0267380	0.0641711	0.0106952	0.0213904	0.0053476	0.0106952	0.0053476
RPS27A	0.0091743	0.1192661	0.1926606	0.0458716	0.0183486	0.0091743	0.0366972	0.0091743	0.0275229	0.0733945	0.0091743	0.0825688	0.0183486	0.0183486	0.0275229	0.0275229	0.0183486	0.0366972	0.0366972	0.0183486	0.0642202	0.0275229	0.0366972	0.0183486	0.0366972	0.0275229	0.0183486	0.0550459	0.0183486	1.0000000	0.1651376	0.0275229	0.0642202	0.0366972	0.0366972	0.0091743	0.0183486	0.0275229	0.0275229	0.0825688	0.0366972	0.0091743	0.0183486	0.0183486	0.0458716	0.0183486	0.0458716	0.0183486	0.0825688	0.0275229	0.0183486	0.0275229	0.0091743	0.0275229	0.0183486	0.0091743	0.0183486	0.0550459	0.0183486
PTPN11	0.0275862	0.0482759	0.1241379	0.0068966	0.0620690	0.0344828	0.0068966	0.0413793	0.0137931	0.0551724	0.0068966	0.0275862	0.0275862	0.0275862	0.0413793	0.0413793	0.0137931	0.0413793	0.0275862	0.0551724	0.0620690	0.0413793	0.0551724	0.0344828	0.0275862	0.0344828	0.0068966	0.0206897	0.0344828	0.1931034	1.0000000	0.0620690	0.0620690	0.0689655	0.0206897	0.0413793	0.0137931	0.0275862	0.0137931	0.1517241	0.0620690	0.0413793	0.0344828	0.0275862	0.0551724	0.0551724	0.0689655	0.0344828	0.0275862	0.0275862	0.0137931	0.0482759	0.0482759	0.0551724	0.0275862	0.0206897	0.0206897	0.0068966	0.0068966
LCK	0.0150376	0.0526316	0.1428571	0.0150376	0.0300752	0.0300752	0.0150376	0.0300752	0.0751880	0.0451128	0.0601504	0.0902256	0.0225564	0.0225564	0.0300752	0.0300752	0.0601504	0.0300752	0.0150376	0.0601504	0.0225564	0.0751880	0.0751880	0.0225564	0.0676692	0.0601504	0.0150376	0.0375940	0.0375940	0.0676692	0.0676692	1.0000000	0.0225564	0.0375940	0.0150376	0.0300752	0.0300752	0.0451128	0.0150376	0.1503759	0.0451128	0.0676692	0.0375940	0.0150376	0.0300752	0.0601504	0.0526316	0.0300752	0.0300752	0.0375940	0.0150376	0.0300752	0.0451128	0.0751880	0.0225564	0.0375940	0.0150376	0.0075188	0.0075188
PTPN1	0.0218579	0.0546448	0.0983607	0.0109290	0.0273224	0.0491803	0.0163934	0.0218579	0.0109290	0.0928962	0.0054645	0.0218579	0.0218579	0.0327869	0.0655738	0.0218579	0.0054645	0.1693989	0.0273224	0.0983607	0.0327869	0.1420765	0.0655738	0.1311475	0.0163934	0.0218579	0.0163934	0.0327869	0.0546448	0.0382514	0.1639344	0.0491803	1.0000000	0.1202186	0.0218579	0.0655738	0.0163934	0.0382514	0.0327869	0.4863388	0.0983607	0.0218579	0.0218579	0.0382514	0.0437158	0.0109290	0.0163934	0.0163934	0.0218579	0.0546448	0.0273224	0.0546448	0.0327869	0.0327869	0.0109290	0.0273224	0.0054645	0.0054645	0.0601093
CD3E	0.0074349	0.1003717	0.1301115	0.0223048	0.0111524	0.0408922	0.0260223	0.0743494	0.0371747	0.1003717	0.0260223	0.1412639	0.0334572	0.0111524	0.0892193	0.0297398	0.0371747	0.0297398	0.0185874	0.0706320	0.0297398	0.0297398	0.0446097	0.0223048	0.0929368	0.0892193	0.0111524	0.0297398	0.1003717	0.1263941	0.2007435	0.1338290	0.0817844	1.0000000	0.0074349	0.0483271	0.0148699	0.0334572	0.0520446	0.1858736	0.0223048	0.0520446	0.0334572	0.0371747	0.0780669	0.0223048	0.1821561	0.0148699	0.0669145	0.0185874	0.0371747	0.0148699	0.0111524	0.0185874	0.0520446	0.0074349	0.0557621	0.0334572	0.0037175
PSME3	0.0580645	0.0193548	0.1161290	0.0193548	0.0129032	0.0129032	0.0064516	0.0064516	0.0322581	0.1225806	0.0451613	0.0838710	0.0258065	0.0838710	0.0129032	0.0516129	0.0322581	0.0580645	0.0258065	0.0516129	0.0129032	0.0258065	0.1096774	0.0322581	0.0129032	0.0258065	0.0258065	0.0193548	0.1096774	0.1483871	0.0774194	0.0516129	0.0258065	0.0387097	1.0000000	0.0129032	0.0129032	0.0645161	0.0258065	0.0774194	0.1483871	0.0709677	0.0258065	0.0064516	0.0516129	0.1483871	0.0709677	0.0193548	0.5483871	0.1548387	0.0129032	0.0774194	0.0193548	0.0774194	0.0193548	0.0322581	0.0064516	0.0193548	0.0129032
SLC4A1	0.0189873	0.0759494	0.0632911	0.0126582	0.3227848	0.0443038	0.0063291	0.0189873	0.0253165	0.0569620	0.0063291	0.0822785	0.0379747	0.0126582	0.0632911	0.0063291	0.0126582	0.1075949	0.0822785	0.0759494	0.0253165	0.0886076	0.0253165	0.0886076	0.0253165	0.0443038	0.0063291	0.0189873	0.0632911	0.0189873	0.1139241	0.0886076	0.5696203	0.1645570	0.0189873	1.0000000	0.0126582	0.0126582	0.0379747	0.2784810	0.0632911	0.0189873	0.0126582	0.0063291	0.0253165	0.0506329	0.0949367	0.0443038	0.0189873	0.0126582	0.0126582	0.0316456	0.1012658	0.0822785	0.0126582	0.0063291	0.0253165	0.0063291	0.0822785
SLC12A2	0.0437500	0.0187500	0.0500000	0.0250000	0.0687500	0.0250000	0.0250000	0.0562500	0.0687500	0.1187500	0.0187500	0.9000000	0.1250000	0.0125000	0.0125000	0.0187500	0.0500000	0.0312500	0.0500000	0.0250000	0.0750000	0.0437500	0.0187500	0.0187500	0.0875000	0.1000000	0.0375000	0.1250000	0.0250000	0.1500000	0.0250000	0.0250000	0.0187500	0.0375000	0.0125000	0.0187500	1.0000000	0.0187500	0.0250000	0.0625000	0.0125000	0.0375000	0.0437500	0.0062500	0.0750000	0.0125000	0.1875000	0.0937500	0.0750000	0.0062500	0.0750000	0.0250000	0.0375000	0.0687500	0.0125000	0.0125000	0.0125000	0.0062500	0.0125000
