gene	nfc_score	family
PDE4DIP	0.4704	grupo_afectos
ANKRD30BL	0.4704	grupo_afectos
SLC9A10	0.4704	grupo_afectos
PDLIM5	0.4704	grupo_afectos
HLA-H	0.4704	grupo_afectos
HLA-A	0.4704	grupo_afectos
PHIP	0.4704	grupo_afectos
LOC642924	0.4704	grupo_afectos
JRK	0.4704	grupo_afectos
C9orf50	0.4704	grupo_afectos
ZNF438	0.4704	grupo_afectos
LOC399959	0.4704	grupo_afectos
IGSF9B	0.4704	grupo_afectos
TAPBPL	0.4704	grupo_afectos
LOC283404	0.4704	grupo_afectos
ARL11	0.4704	grupo_afectos
ATP5S	0.4704	grupo_afectos
LOC645158	0.4704	grupo_afectos
C18orf16	0.4704	grupo_afectos
MUC16	0.4704	grupo_afectos
PSG8	0.4704	grupo_afectos
DKFZp434J0226	0.4704	grupo_afectos
ATF5	0.4704	grupo_afectos
TMX4	0.4704	grupo_afectos
TMPRSS3	0.4704	grupo_afectos
MAGEC1	0.4704	grupo_afectos
LOC100506023	0.4704	grupo_afectos
LOC402160	0.4704	grupo_afectos
PTGES2	0.4704	grupo_afectos
KIF19	0.4704	grupo_afectos
PLA2G3	0.4704	grupo_afectos
APOL3	0.4704	grupo_afectos
SDC3	0.4704	grupo_afectos
CAP1	0.4704	grupo_afectos
TEKT4	0.4704	grupo_afectos
LY86-AS1	0.4704	grupo_afectos
SSPO	0.4704	grupo_afectos
ZNF23	0.4704	grupo_afectos
CNN2	0.4704	grupo_afectos
C19orf46	0.4704	grupo_afectos
LOC644189	0.4704	grupo_afectos
KCNE1	0.4704	grupo_afectos
ST7L	0.4704	grupo_afectos
CCDC74B	0.4704	grupo_afectos
LOC100302640	0.4704	grupo_afectos
RNF121	0.4704	grupo_afectos
GRIN2C	0.4704	grupo_afectos
SIRPB1	0.4704	grupo_afectos
NKAIN4	0.4704	grupo_afectos
ZNF683	0.4704	grupo_afectos
GEMIN8P4	0.4704	grupo_afectos
PTPN7	0.4704	grupo_afectos
OR2W3	0.4704	grupo_afectos
SMPD4	0.4704	grupo_afectos
LOC100132526	0.4704	grupo_afectos
MUTED-TXNDC5,PIP5K1P1	0.4704	grupo_afectos
CALB2	0.4704	grupo_afectos
AZI1	0.4704	grupo_afectos
A1BG-AS1	0.4704	grupo_afectos
CCT6P3	0.4704	grupo_afectos
C8orf44	0.4704	grupo_afectos
POTEG	0.4704	grupo_afectos
SEC1	0.4704	grupo_afectos
KRTAP10-7	0.4704	grupo_afectos
GRM8	0.4704	grupo_afectos
LOC645332	0.4704	grupo_afectos
C1QTNF9	0.4704	grupo_afectos
DHRS4L1	0.4704	grupo_afectos
CCL14-CCL15	0.4704	grupo_afectos
HLA-DRB5	0.4704	grupo_afectos
LOC100132891	0.4704	grupo_afectos
ANKDD1A	0.4704	grupo_afectos
CACNA1I	0.4704	grupo_afectos
FLJ40852	0.4704	grupo_afectos
LOC100128338	0.4704	grupo_afectos
ZNF469	0.4704	grupo_afectos
LOC285830	0.4704	grupo_afectos
TMC3	0.4704	grupo_afectos
SCUBE1	0.4704	grupo_afectos
CLEC4M	0.4704	grupo_afectos
AHNAK2	0.4704	grupo_afectos
LOC643650	0.4704	grupo_afectos
PARP1	0.4609	inter
COPS6	0.3745	inter
USP20	0.3531	inter
GRB2	0.3531	inter
